measure,n,days,win_rate,pnl,expectancy,avg_win,avg_loss,payoff,max_drawdown,median,top1,top3_share,top5_share,ex_top5_pnl,entry_policy,entry_rule,asset,variant,price_bin,status,exp_ci95,p_perm,day_var,holm_adj_p
gross,6,4,0.5,-2.8743,-0.479055,0.0419,-1.0,0.0419,2.8743,-0.4898,0.0526,-0.0437,0.6521,-1.0,GRID,T-12,ETH,YES_OUTSIDER,"[0.90,0.99]",INSUFFICIENT_SAMPLE,,,,
gross,261,30,0.567,7.2644,0.027833,0.8126,-1.0,0.8126,11.6887,0.7241,0.9608,0.3968,0.6613,2.4605,GRID,T-12,SOL,YES_FAVORITE,"[0.50,0.60)",OK,"[-0.091788, 0.133925]",0.322339,7.573805,1.0
gross,287,30,0.6167,-11.5223,-0.040147,0.5564,-1.0,0.5564,23.2248,0.4925,0.6667,-0.1736,-0.2893,-14.8556,GRID,T-12,SOL,YES_FAVORITE,"[0.60,0.70)",OK,"[-0.139856, 0.052888]",0.786107,6.947531,1.0
gross,255,30,0.7608,5.6631,0.022208,0.3436,-1.0,0.3436,10.4702,0.3158,0.4286,0.227,0.3784,3.5203,GRID,T-12,SOL,YES_FAVORITE,"[0.70,0.80)",OK,"[-0.064075, 0.100368]",0.302849,3.591767,1.0
gross,154,30,0.8636,4.5668,0.029654,0.1922,-1.0,0.1922,3.5678,0.1765,0.25,0.1642,0.2737,3.3168,GRID,T-12,SOL,YES_FAVORITE,"[0.80,0.90)",OK,"[-0.046288, 0.096202]",0.1999,1.020592,1.0
gross,54,19,0.9259,-0.1443,-0.002672,0.0771,-1.0,0.0771,1.9959,0.0753,0.1111,-2.3099,-3.8498,-0.6999,GRID,T-12,SOL,YES_FAVORITE,"[0.90,0.99]",OK,"[-0.078201, 0.060132]",0.533733,0.181576,1.0
gross,1,1,0.0,-1.0,-1.0,0.0,-1.0,0.0,1.0,-1.0,-1.0,1.0,1.0,0.0,GRID,T-12,SOL,YES_OUTSIDER,"[0.01,0.05)",INSUFFICIENT_SAMPLE,,,,
gross,14,12,0.0,-14.0,-1.0,0.0,-1.0,0.0,14.0,-1.0,-1.0,0.2143,0.3571,-9.0,GRID,T-12,SOL,YES_OUTSIDER,"[0.05,0.10)",OK,"[-1.0, -1.0]",1.0,0.138889,1.0
gross,36,21,0.0556,-21.1648,-0.587912,6.4176,-1.0,6.4176,21.3077,-1.0,6.6923,-0.5592,-0.4647,-31.0,GRID,T-12,SOL,YES_OUTSIDER,"[0.10,0.15)",OK,"[-1.0, 0.098901]",0.990005,5.895529,1.0
gross,81,25,0.1852,4.8467,0.059835,4.7231,-1.0,4.7231,12.4166,-1.0,5.25,3.2497,5.2644,-20.668,GRID,T-12,SOL,YES_OUTSIDER,"[0.15,0.20)",OK,"[-0.36463, 0.457429]",0.385807,11.816569,1.0
gross,100,28,0.2,-11.1909,-0.111909,3.4405,-1.0,3.4405,26.4162,-1.0,4.0,-1.051,-1.704,-30.2602,GRID,T-12,SOL,YES_OUTSIDER,"[0.20,0.25)",OK,"[-0.426895, 0.235165]",0.747126,10.405227,1.0
gross,124,29,0.2581,-6.239,-0.050315,2.68,-1.0,2.68,38.4433,-1.0,3.0,-1.4425,-2.3796,-21.0852,GRID,T-12,SOL,YES_OUTSIDER,"[0.25,0.30)",OK,"[-0.331353, 0.229365]",0.614693,11.445044,1.0
gross,134,29,0.306,-6.4328,-0.048006,2.1114,-1.0,2.1114,16.9936,-1.0,2.3333,-1.0882,-1.8136,-18.0994,GRID,T-12,SOL,YES_OUTSIDER,"[0.30,0.35)",OK,"[-0.240028, 0.167278]",0.668666,6.449331,1.0
gross,144,29,0.3264,-16.696,-0.115944,1.7086,-1.0,1.7086,25.531,-1.0,1.8571,-0.3337,-0.5562,-25.9817,GRID,T-12,SOL,YES_OUTSIDER,"[0.35,0.40)",OK,"[-0.336681, 0.100459]",0.867566,8.300336,1.0
gross,322,30,0.3758,-49.3081,-0.153131,1.2537,-1.0,1.2537,53.51,-1.0,1.5,-0.0913,-0.1521,-56.8081,GRID,T-12,SOL,YES_OUTSIDER,"[0.40,0.50)",OK,"[-0.264995, -0.039081]",0.995002,11.770213,1.0
gross,113,25,0.5044,-2.9907,-0.026466,0.93,-1.0,0.93,13.3048,0.8182,1.0,-1.0031,-1.6719,-7.9907,GRID,T-12,SOL,YES_OUTSIDER,"[0.50,0.60)",OK,"[-0.188573, 0.129607]",0.61919,3.120854,1.0
gross,15,4,0.5333,-6.7092,-0.447279,0.0364,-1.0,0.0364,6.8342,0.0204,0.0417,-0.0186,-0.0311,-6.9175,GRID,T-12,SOL,YES_OUTSIDER,"[0.90,0.99]",INSUFFICIENT_SAMPLE,,,,
gross,247,30,0.5789,13.3629,0.054101,0.8207,-1.0,0.8207,11.1366,0.7241,0.9608,0.2157,0.3595,8.559,GRID,T-12,XRP,YES_FAVORITE,"[0.50,0.60)",OK,"[-0.03075, 0.130736]",0.104448,3.951065,1.0
gross,289,30,0.6228,-10.4235,-0.036067,0.5476,-1.0,0.5476,16.1777,0.4925,0.6667,-0.1919,-0.3198,-13.7568,GRID,T-12,XRP,YES_FAVORITE,"[0.60,0.70)",OK,"[-0.106949, 0.031824]",0.846577,3.575069,1.0
gross,257,30,0.7354,-1.9468,-0.007575,0.3495,-1.0,0.3495,11.7682,0.3158,0.4286,-0.6604,-1.1007,-4.0896,GRID,T-12,XRP,YES_FAVORITE,"[0.70,0.80)",OK,"[-0.066397, 0.056174]",0.595202,2.050957,1.0
gross,190,30,0.8684,6.4715,0.03406,0.1907,-1.0,0.1907,4.0162,0.1765,0.25,0.1159,0.1932,5.2215,GRID,T-12,XRP,YES_FAVORITE,"[0.80,0.90)",OK,"[-0.005498, 0.072779]",0.038481,0.462678,1.0
gross,51,18,0.8824,-2.7566,-0.054051,0.0721,-1.0,0.0721,3.0655,0.0638,0.1111,-0.1209,-0.2015,-3.3122,GRID,T-12,XRP,YES_FAVORITE,"[0.90,0.99]",OK,"[-0.145542, 0.027218]",0.897551,0.260796,1.0
