group,fold,n_val,pred_flip_rate,side_flip_rate,trades_all,trades_variant,delta_volume_trades,net_all_mean,net_variant_mean,delta_pnl,delta_logloss,delta_brier
time,F4,114210,0.3359075387444182,0.3359075387444182,84748,82845,-1903,-0.04947269584884994,-0.07872408963060701,-0.02925139378175707,0.0021468867400622482,0.0006629904717585511
time,F4,114210,0.606461780929866,0.606461780929866,84748,103265,18517,-0.04947269584884994,-0.15302430724391242,-0.10355161139506247,0.19147802429516236,0.08054965192521324
trend,F4,114210,0.31678486997635935,0.31678486997635935,84748,85296,548,-0.04947269584884994,-0.059515285402571144,-0.010042589553721205,0.007295048945207827,0.0025661751483783413
trend,F4,114210,0.5745819105157166,0.5745819105157166,84748,103350,18602,-0.04947269584884994,-0.1691443605300465,-0.11967166468119655,0.20431922679962233,0.08544289818285816
volatility,F4,114210,0.3655721915769197,0.3655721915769197,84748,84335,-413,-0.04947269584884994,-0.06219086037906961,-0.01271816453021967,0.00797133382789239,0.002876566669117231
volatility,F4,114210,0.5754750021889502,0.5754750021889502,84748,102133,17385,-0.04947269584884994,-0.1545519592927246,-0.10507926344387467,0.18169939143315883,0.07644691728573061
volume_taker_flow,F4,114210,0.32662638998336396,0.32662638998336396,84748,85591,843,-0.04947269584884994,-0.07472941843701843,-0.02525672258816849,0.01220032191161502,0.00427896956357246
volume_taker_flow,F4,114210,0.617958147272568,0.617958147272568,84748,101919,17171,-0.04947269584884994,-0.16002313999495846,-0.11055044414610851,0.17465992492517868,0.07374344813989403
cross_asset_breadth,F5,106354,0.3016247625853282,0.3016247625853282,74398,74582,184,-0.06744215660697284,-0.051193004696535316,0.01624915191043752,0.0016757980220026836,0.0003159722842553392
cross_asset_breadth,F5,106354,0.6025255279538146,0.6025255279538146,74398,94942,20544,-0.06744215660697284,-0.22173780935364407,-0.15429565274667123,0.1935376489857462,0.0807573874966529
polymarket_state,F5,106354,0.28690975421704873,0.28690975421704873,74398,74327,-71,-0.06744215660697284,-0.0714693562113627,-0.004027199604389867,-0.0027176484966471293,-0.0015331515215337155
polymarket_state,F5,106354,0.6549448069654173,0.6549448069654173,74398,42188,-32210,-0.06744215660697284,-0.0398597332390314,0.027582423367941436,-0.016671423459474255,-0.007227921179952496
price_returns,F5,106354,0.3081783477819358,0.3081783477819358,74398,74070,-328,-0.06744215660697284,-0.04982718843648047,0.017614968170492365,-0.003569764264256592,-0.001847685650490677
price_returns,F5,106354,0.5974293397521485,0.5974293397521485,74398,95552,21154,-0.06744215660697284,-0.22390197593907185,-0.15645981933209901,0.19913576067311856,0.08301292964610962
regime,F5,106354,0.2921469808375802,0.2921469808375802,74398,74166,-232,-0.06744215660697284,-0.06561946483898141,0.0018226917679914217,0.0016591390467866063,0.0005711438618545561
regime,F5,106354,0.6446490023882505,0.6446490023882505,74398,93778,19380,-0.06744215660697284,-0.20448717942996508,-0.13704502282299225,0.18575290062587968,0.07611647914856634
sequence,F5,106354,0.3163585760761231,0.3163585760761231,74398,74833,435,-0.06744215660697284,-0.0709875513393221,-0.003545394732349258,-0.002428928448364953,-0.0016064721920386882
sequence,F5,106354,0.4590142354777441,0.4590142354777441,74398,70140,-4258,-0.06744215660697284,-0.06232064451237002,0.005121512094602813,-0.005977538300123708,-0.002439186526052739
time,F5,106354,0.2999699118039754,0.2999699118039754,74398,73462,-936,-0.06744215660697284,-0.07115746657638367,-0.0037153099694108294,-0.0010328750285971688,-0.0005433077575177914
time,F5,106354,0.6395622167478421,0.6395622167478421,74398,95019,20621,-0.06744215660697284,-0.19053826318664754,-0.12309610657967471,0.17814557783815976,0.07235123586844389
trend,F5,106354,0.2927581473193298,0.2927581473193298,74398,74167,-231,-0.06744215660697284,-0.05447089928769996,0.012971257319272879,0.0016820515815488823,0.0006541692666074683
trend,F5,106354,0.6223649322075333,0.6223649322075333,74398,95142,20744,-0.06744215660697284,-0.19830351459557619,-0.13086135798860335,0.17272947277792194,0.07204542393322566
volatility,F5,106354,0.3079714914342667,0.3079714914342667,74398,74560,162,-0.06744215660697284,-0.06767790369773684,-0.0002357470907640019,0.005133674294032775,0.0019319964308651127
volatility,F5,106354,0.6152001805291761,0.6152001805291761,74398,95172,20774,-0.06744215660697284,-0.23001418694611814,-0.1625720303391453,0.1890618788468027,0.07986015459757367
volume_taker_flow,F5,106354,0.2925230832878876,0.2925230832878876,74398,74876,478,-0.06744215660697284,-0.0620969073209443,0.0053452492860285375,0.00044274786912723574,-0.0002854217067382592
volume_taker_flow,F5,106354,0.6624762585328243,0.6624762585328243,74398,94305,19907,-0.06744215660697284,-0.22449924218332698,-0.15705708557635414,0.1778809778623066,0.07450558257113488
cross_asset_breadth,F6,94100,0.2958767268862912,0.2958767268862912,52559,53880,1321,0.0019399108920301997,-0.006080033007082996,-0.008019943899113195,0.000604346739892847,0.000332317961817985
cross_asset_breadth,F6,94100,0.7093623804463337,0.7093623804463337,52559,79999,27440,0.0019399108920301997,-0.14531075616078046,-0.14725066705281065,0.1716078369163634,0.07179890024823882
polymarket_state,F6,94100,0.27104144527098833,0.27104144527098833,52559,52227,-332,0.0019399108920301997,-0.004460136086655277,-0.006400046978685476,-0.0010082279395298155,-0.00047451499913725437
polymarket_state,F6,94100,0.5399787460148778,0.5399787460148778,52559,35873,-16686,0.0019399108920301997,-0.04591869916593213,-0.04785861005796233,0.0039081444321314995,0.001543455500145563
price_returns,F6,94100,0.27722635494155157,0.27722635494155157,52559,52664,105,0.0019399108920301997,-0.009586069672351807,-0.011525980564382006,0.0008432826919255731,0.00029982534036668285
price_returns,F6,94100,0.6963868225292242,0.6963868225292242,52559,80924,28365,0.0019399108920301997,-0.15644240769892034,-0.15838231859095053,0.18071592672085435,0.07569856940328973
regime,F6,94100,0.3016790648246546,0.3016790648246546,52559,52339,-220,0.0019399108920301997,-0.010462517211781054,-0.012402428103811253,0.001834844269116287,0.000848315722988574
regime,F6,94100,0.6793730074388948,0.6793730074388948,52559,80878,28319,0.0019399108920301997,-0.12969762360308668,-0.13163753449511686,0.16873900121497287,0.06993723712571298
sequence,F6,94100,0.3052922422954304,0.3052922422954304,52559,52014,-545,0.0019399108920301997,-0.013059651006557945,-0.014999561898588145,-0.001928193653662924,-0.0007805253680264468
sequence,F6,94100,0.4684378320935175,0.4684378320935175,52559,49606,-2953,0.0019399108920301997,-0.0334735356555865,-0.0354134465476167,0.004661719161405009,0.001934731249504662
time,F6,94100,0.26478214665249733,0.26478214665249733,52559,52208,-351,0.0019399108920301997,0.007419168605304115,0.005479257713273915,-0.0019240407381472258,-0.0008230786042692229
time,F6,94100,0.6871519659936238,0.6871519659936238,52559,80814,28255,0.0019399108920301997,-0.14541861710870482,-0.147358528000735,0.17673202221417172,0.07382946589554623
trend,F6,94100,0.28019128586609987,0.28019128586609987,52559,51913,-646,0.0019399108920301997,-0.01103919641387505,-0.01297910730590525,-0.0011607983291784807,-0.0006258217542821631
trend,F6,94100,0.6998405951115835,0.6998405951115835,52559,79498,26939,0.0019399108920301997,-0.14214322341808927,-0.14408313431011946,0.166391660825829,0.0690364824719088
volatility,F6,94100,0.29964930924548355,0.29964930924548355,52559,51595,-964,0.0019399108920301997,-0.009881524527601257,-0.011821435419631456,0.0013507575332089017,0.0006777908215081507
volatility,F6,94100,0.7046014877789586,0.7046014877789586,52559,78646,26087,0.0019399108920301997,-0.14992453001853143,-0.15186444091056162,0.16840050492520564,0.07032839857547324
volume_taker_flow,F6,94100,0.2789373007438895,0.2789373007438895,52559,52272,-287,0.0019399108920301997,-0.0038064332330212244,-0.0057463441250514245,-0.002113320829065124,-0.0006321966901788323
volume_taker_flow,F6,94100,0.7141020191285866,0.7141020191285866,52559,78867,26308,0.0019399108920301997,-0.17672310698528995,-0.17866301787732014,0.1823481305229565,0.07694927632007753
