feature,target_cohort,fold,n_train,n_val,auc,logloss,p_perm,p_holm
price_velocity_lag1,contract,F3,239094,112073,0.6228427102881829,0.6796314169755422,,
range_1,contract,F3,239094,112073,0.5172251493337383,0.6955344503370535,,
range_avg_24,contract,F3,239094,112073,0.4839120534504988,0.6956614105856936,,
ret_1,contract,F3,239094,112073,0.5182548898582937,0.6941674586124335,,
ret_12,contract,F3,239094,112073,0.5166206828411937,0.6949572483645571,,
ret_24,contract,F3,239094,112073,0.538392314009098,0.6945599465601692,,
ret_3,contract,F3,239094,112073,0.5285799765139145,0.6940599984084872,,
ret_48,contract,F3,239094,112073,0.5449252898425433,0.6925156827808034,,
ret_6,contract,F3,239094,112073,0.5238073695069979,0.69456086697617,,
rsi_14,contract,F3,239094,112073,0.5145939496108622,0.6954743666888564,,
signed_body_pct,contract,F3,239094,112073,0.5180376454310655,0.6942044041229055,,
signed_trend_efficiency_6,contract,F3,239094,112073,0.5201923298046626,0.695094279360392,,
spread,contract,F3,239094,112073,0.5023468988277718,0.6954461808757018,,
spread_pct,contract,F3,239094,112073,0.7536371255627863,0.622635163076487,,
spread_trend,contract,F3,237740,111463,0.4863808554916434,0.6952066820468791,,
strike_gap_pct,contract,F3,0,0,,,,
taker_buy_ratio,contract,F3,239094,112073,0.49418029655132706,0.6977141401228288,,
time_left_min,contract,F3,239094,112073,0.5,0.6953998043838402,,
time_phase,contract,F3,239094,112073,0.5,0.6953998043838402,,
up_ratio_4,contract,F3,239094,112073,0.5286223816717132,0.694496329360317,,
velocity_x_phase,contract,F3,239094,112073,0.6304232059716495,0.6776476743569504,,
vol_24,contract,F3,239094,112073,0.5248245975928009,0.6952517763837356,,
vol_48,contract,F3,239094,112073,0.5050252602440923,0.6952745087861028,,
vol_6,contract,F3,239094,112073,0.4834731977106501,0.6957830606889613,,
vol_ratio,contract,F3,239094,112073,0.4776419815062213,0.6956623670172324,,
vol_trend,contract,F3,239094,112073,0.4546455506101874,0.6971871533374018,,
vol_z_1,contract,F3,239094,112073,0.49574062113511574,0.695750120229742,,
vol_z_6,contract,F3,239094,112073,0.5087708803929167,0.6955024456047211,,
volume_5min,contract,F3,239094,112073,0.5,0.6953998043838402,,
volume_trend,contract,F3,238426,111761,0.5,0.6952748173683067,,
alternation_rate_6,native,F4,349079,109784,0.5063293287838568,0.5903395556206306,,
bb_position,native,F4,349079,109784,0.5157625530023571,0.5903637230581953,,
bb_width,native,F4,349079,109784,0.5156942129047283,0.5924262079893529,,
body_to_range,native,F4,349079,109784,0.48969136612199743,0.5904196535676222,,
consec_balance,native,F4,349079,109784,0.49200163309337763,0.5904890226972668,,
consec_down,native,F4,349079,109784,0.5200777994154746,0.5901682777481635,,
consec_up,native,F4,349079,109784,0.5177116854217589,0.5904454639690087,,
consecutive_down,native,F4,349079,109784,0.5209334991773599,0.5901603159441885,,
consecutive_up,native,F4,349079,109784,0.5170532623127608,0.590478285024884,,
cvd_1,native,F4,349079,109784,0.5146514970096833,0.5903348379088779,,
cvd_6,native,F4,349079,109784,0.5023613413651906,0.5905307865456954,,
cvd_trend,native,F4,349079,109784,0.4966406555616441,0.5904179583956218,,
day_of_week,native,F4,349079,109784,0.47975196599648695,0.5913799908801387,,
dev_sq_x_phase,native,F4,349079,109784,0.7255868128175693,0.5141037926660971,,
deviation_x_time,native,F4,349079,109784,0.5,0.5904136214884241,,
direction_lag_1,native,F4,349079,109784,0.5228251038935088,0.589775417581108,,
direction_lag_2,native,F4,349079,109784,0.49603784029478676,0.5904320712106114,,
direction_lag_3,native,F4,349079,109784,0.5135820691391665,0.590170829753555,,
dist_to_high_24,native,F4,349079,109784,0.5337940991719572,0.5950518544220189,,
dist_to_high_96,native,F4,349079,109784,0.5230950153263252,0.5946911507844475,,
dist_to_low_24,native,F4,349079,109784,0.49064292143677135,0.5905047112636392,,
dist_to_low_96,native,F4,349079,109784,0.4910144324746319,0.5978584760458568,,
dow,native,F4,349079,109784,0.47975196599648695,0.5913799908801387,,
dow_cos,native,F4,349079,109784,0.4729367767122318,0.5908861346067421,,
dow_sin,native,F4,349079,109784,0.4916136461640471,0.590884526544738,,
ema_ratio_9_21,native,F4,349079,109784,0.5030529680693507,0.5911470362784625,,
funding_extreme,native,F4,0,0,,,,
funding_rate,native,F4,0,0,,,,
funding_rate_ma3,native,F4,0,0,,,,
high_price_final,native,F4,349079,109784,0.7256196171578264,0.5191616384702156,,
hour_cos,native,F4,349079,109784,0.5244535271483964,0.5897889023090291,,
hour_of_day,native,F4,349079,109784,0.5130042356741651,0.5902608150072886,,
hour_sin,native,F4,349079,109784,0.5065424551109768,0.5903745099897315,,
hour_utc,native,F4,349079,109784,0.5130042356741651,0.5902608150072886,,
