variant,group,fold,n_train,n_val,logloss,brier,canonical_pnl,best_iter,delta_logloss,delta_brier,delta_canonical_pnl
DROP_GROUP_volume_taker_flow,volume_taker_flow,F4,105000,114210,0.5579233070801527,0.19231632529087014,-0.07505999043907792,250,0.012199089026271537,0.0042788030545344025,-0.02610459968118581
ONLY_GROUP_volume_taker_flow,volume_taker_flow,F4,105000,114210,0.7203753322957824,0.2617769574611874,-0.15992845205215742,250,0.17465111424190127,0.07373943522485166,-0.1109730612942653
MINIMAL_CONTROL,,F4,105000,114210,0.5422593731251937,0.1853251347774411,-0.04723298349285206,250,-0.0034648449286874827,-0.002712387458894655,0.0017224072650400546
ALL,,F5,105000,106354,0.539777327502109,0.1866571155408325,-0.0678353693587229,250,0.0,0.0,0.0
DROP_GROUP_cross_asset_breadth,cross_asset_breadth,F5,105000,106354,0.5414544494258318,0.18697353066891628,-0.051439634866843484,250,0.001677121923722713,0.00031641512808378014,0.01639573449187942
ONLY_GROUP_cross_asset_breadth,cross_asset_breadth,F5,105000,106354,0.7333042020063615,0.26741045500700583,-0.22169642387495103,250,0.19352687450425243,0.08075333946617333,-0.1538610545162281
DROP_GROUP_polymarket_state,polymarket_state,F5,105000,106354,0.5370662192392355,0.18512622454877478,-0.07167429675916216,250,-0.002711108262873574,-0.0015308909920577207,-0.003838927400439257
ONLY_GROUP_polymarket_state,polymarket_state,F5,105000,106354,0.5231100898929041,0.1794300866083367,-0.04012501729688273,250,-0.016667237609204966,-0.007227028932495799,0.027710352061840172
DROP_GROUP_price_returns,price_returns,F5,105000,106354,0.5362062322835538,0.1848089003122369,-0.05023719022128243,250,-0.0035710952185552536,-0.001848215228595601,0.017598179137440474
ONLY_GROUP_price_returns,price_returns,F5,105000,106354,0.7389141718782982,0.26967013047086946,-0.22396039764744427,250,0.19913684437618917,0.08301301493003696,-0.15612502828872138
DROP_GROUP_regime,regime,F5,105000,106354,0.5414341496180213,0.1872269291897408,-0.06560773683781712,250,0.0016568221159122265,0.0005698136489082906,0.002227632520905784
ONLY_GROUP_regime,regime,F5,105000,106354,0.7255316151333383,0.2627734075504923,-0.2045610334206284,250,0.18575428763122925,0.07611629200965978,-0.1367256640619055
DROP_GROUP_sequence,sequence,F5,105000,106354,0.537349740753417,0.18505140901148665,-0.07115685880185633,250,-0.0024275867486920344,-0.0016057065293458572,-0.0033214894431334296
ONLY_GROUP_sequence,sequence,F5,105000,106354,0.5337992207578331,0.18421760952992097,-0.062373125134427346,250,-0.005978106744275902,-0.0024395060109115296,0.005462244224295559
DROP_GROUP_time,time,F5,105000,106354,0.538742788828271,0.1861126211868069,-0.07121935607325773,250,-0.0010345386738380702,-0.0005444943540255931,-0.0033839867145348257
ONLY_GROUP_time,time,F5,105000,106354,0.7179232358926066,0.2590089606268478,-0.1909193526357717,250,0.1781459083904976,0.0723518450860153,-0.1230839832770488
DROP_GROUP_trend,trend,F5,105000,106354,0.5414623898916764,0.1873121128763032,-0.054643438844524814,250,0.0016850623895673378,0.0006549973354706973,0.013191930514198091
ONLY_GROUP_trend,trend,F5,105000,106354,0.7124988058194412,0.2586988275881566,-0.19831879760940413,250,0.1727214783173322,0.0720417120473241,-0.1304834282506812
DROP_GROUP_volatility,volatility,F5,105000,106354,0.5449124749280815,0.1885888881464196,-0.06813140310830339,250,0.005135147425972431,0.0019317726055871065,-0.0002960337495804821
ONLY_GROUP_volatility,volatility,F5,105000,106354,0.7288293868256391,0.2665125041711952,-0.23012391012139832,250,0.1890520593235301,0.0798553886303627,-0.1622885407626754
DROP_GROUP_volume_taker_flow,volume_taker_flow,F5,105000,106354,0.5402205989479585,0.18637110191061074,-0.06218004499604782,250,0.0004432714458494358,-0.0002860136302217653,0.005655324362675088
ONLY_GROUP_volume_taker_flow,volume_taker_flow,F5,105000,106354,0.7176644293550006,0.2611650002645763,-0.224592392043511,250,0.17788710185289158,0.07450788472374378,-0.15675702268478808
MINIMAL_CONTROL,,F5,105000,106354,0.5310211411430543,0.1824181821596756,-0.0540655290573303,250,-0.00875618635905473,-0.004238933381156912,0.013769840301392604
ALL,,F6,105000,94100,0.5342850455223872,0.18408042463516983,0.0022016071295058773,250,0.0,0.0,0.0
DROP_GROUP_cross_asset_breadth,cross_asset_breadth,F6,105000,94100,0.5348878896082331,0.18441144300232662,-0.00623196432653885,250,0.0006028440858458772,0.00033101836715679345,-0.008433571456044727
ONLY_GROUP_cross_asset_breadth,cross_asset_breadth,F6,105000,94100,0.7058931190003228,0.25588011432637714,-0.14525019009733164,250,0.1716080734779356,0.07179968969120731,-0.14745179722683752
