bin,lo,hi,n,acc,conf,model,split
3,0.3,0.4,1471,0.306594,0.350787,M5,validation
4,0.4,0.5,1328,0.435241,0.448142,M5,validation
5,0.5,0.6,2138,0.546773,0.545964,M5,validation
6,0.6,0.7,1143,0.67629,0.652819,M5,validation
7,0.7,0.8,1370,0.747445,0.756522,M5,validation
8,0.8,0.9,1137,0.859279,0.847858,M5,validation
9,0.9,1.0,844,0.959716,0.941625,M5,validation
0,0.0,0.1,703,0.039829,0.05964,M5,test
1,0.1,0.2,1409,0.139106,0.149761,M5,test
2,0.2,0.3,1100,0.235455,0.248015,M5,test
3,0.3,0.4,1603,0.321273,0.348922,M5,test
4,0.4,0.5,1448,0.448204,0.448813,M5,test
5,0.5,0.6,1868,0.547109,0.541094,M5,test
6,0.6,0.7,1080,0.649074,0.64938,M5,test
7,0.7,0.8,1382,0.732996,0.756352,M5,test
8,0.8,0.9,1153,0.843886,0.846655,M5,test
9,0.9,1.0,959,0.964546,0.942029,M5,test
