asset,entry_rule,price_bin,n_c0,gross_c0,n_ct,gross_ct,prevented_losses,missed_wins,net_diff
DOGE,T-8,"[0.35,0.40)",47,9.9268,23,4.5928,13.0,18.334,-5.334
DOGE,T-8,"[0.40,0.50)",134,8.9444,67,2.1142,34.0,40.8302,-6.8302
DOGE,T-8,"[0.50,0.60)",33,-7.9253,16,-2.5882,11.0,5.6628,5.3372
DOGE,T-8,"[0.60,0.70)",1,-1.0,1,-1.0,0,0,0.0
DOGE,T-8,"[0.90,0.99]",3,-1.9899,0,0,2.0,0.0101,1.9899
ETH,T-12,"[0.01,0.05)",3,-3.0,0,0,3.0,0,3.0
ETH,T-12,"[0.05,0.10)",21,5.7857,0,0,19.0,24.7857,-5.7857
ETH,T-12,"[0.10,0.15)",43,-11.29,0,0,39.0,27.71,11.29
ETH,T-12,"[0.15,0.20)",64,-5.5424,0,0,54.0,48.4576,5.5424
ETH,T-12,"[0.20,0.25)",74,-5.9132,0,0,59.0,53.0868,5.9132
ETH,T-12,"[0.25,0.30)",98,-20.3121,3,0.4483,75.0,54.2397,20.7603
ETH,T-12,"[0.30,0.35)",136,-15.7333,16,2.2046,87.0,69.062,17.938
ETH,T-12,"[0.35,0.40)",141,-16.8825,44,-1.0053,67.0,51.1228,15.8772
ETH,T-12,"[0.40,0.50)",276,-6.115,123,-16.2431,80.0,90.1281,-10.1281
ETH,T-12,"[0.50,0.60)",68,-3.5217,21,-1.0784,24.0,21.5567,2.4433
ETH,T-12,"[0.90,0.99]",6,-2.8743,2,-2.0,1.0,0.1257,0.8743
ETH,T-5,BELOW_0.01,9,-9.0,0,0,9.0,0,9.0
ETH,T-5,"[0.01,0.05)",152,-102.0,6,-6.0,145.0,49.0,96.0
ETH,T-5,"[0.05,0.10)",127,-8.9841,12,-12.0,107.0,110.0159,-3.0159
ETH,T-5,"[0.10,0.15)",76,-1.4812,19,-9.9091,49.0,57.4279,-8.4279
ETH,T-5,"[0.15,0.20)",73,-31.2843,23,-10.8676,45.0,24.5833,20.4167
ETH,T-5,"[0.20,0.25)",51,19.9439,20,4.2857,21.0,36.6582,-15.6582
ETH,T-5,"[0.25,0.30)",52,-18.299,29,-17.7363,17.0,16.4373,0.5627
ETH,T-5,"[0.30,0.35)",40,12.559,21,3.6758,10.0,18.8832,-8.8832
ETH,T-5,"[0.35,0.40)",30,0.07,14,8.0254,13.0,5.0446,7.9554
ETH,T-5,"[0.40,0.50)",69,2.9542,35,3.2826,19.0,18.6716,0.3284
ETH,T-5,"[0.50,0.60)",15,2.6922,2,-0.0392,5.0,7.7314,-2.7314
ETH,T-5,"[0.90,0.99]",1,-1.0,0,0,1.0,0,1.0
ETH,T-8,"[0.01,0.05)",50,-50.0,0,0,50.0,0,50.0
ETH,T-8,"[0.05,0.10)",68,-51.3333,0,0,67.0,15.6667,51.3333
ETH,T-8,"[0.10,0.15)",60,-21.3553,3,-3.0,52.0,33.6447,18.3553
ETH,T-8,"[0.15,0.20)",88,-23.7938,10,1.1455,69.0,44.0607,24.9393
ETH,T-8,"[0.20,0.25)",74,-10.9132,20,-6.3448,43.0,38.4316,4.5684
ETH,T-8,"[0.25,0.30)",74,15.735,26,-3.7574,30.0,49.4924,-19.4924
ETH,T-8,"[0.30,0.35)",60,-6.0818,27,-5.0064,23.0,21.9246,1.0754
ETH,T-8,"[0.35,0.40)",62,-16.5567,33,-9.1465,21.0,13.5898,7.4102
ETH,T-8,"[0.40,0.50)",123,2.7471,59,-7.385,31.0,41.1321,-10.1321
ETH,T-8,"[0.50,0.60)",26,1.9231,11,1.0,7.0,7.9231,-0.9231
ETH,T-8,"[0.90,0.99]",1,-1.0,0,0,1.0,0,1.0
SOL,T-12,"[0.01,0.05)",1,-1.0,0,0,1.0,0,1.0
SOL,T-12,"[0.05,0.10)",14,-14.0,0,0,14.0,0,14.0
SOL,T-12,"[0.10,0.15)",36,-21.1648,0,0,34.0,12.8352,21.1648
SOL,T-12,"[0.15,0.20)",72,2.7012,0,0,59.0,61.7012,-2.7012
SOL,T-12,"[0.20,0.25)",92,-7.3576,2,-2.0,71.0,65.6424,5.3576
SOL,T-12,"[0.25,0.30)",111,-4.228,2,-2.0,80.0,77.772,2.228
SOL,T-12,"[0.30,0.35)",122,-7.1472,14,-1.7841,75.0,69.6369,5.3631
SOL,T-12,"[0.35,0.40)",126,-6.6694,30,5.258,65.0,53.0725,11.9275
SOL,T-12,"[0.40,0.50)",274,-39.5512,135,-18.2994,87.0,65.7482,21.2518
SOL,T-12,"[0.50,0.60)",99,1.2749,39,4.2277,30.0,27.0473,2.9527
SOL,T-12,"[0.90,0.99]",15,-6.7092,1,0.0204,7.0,0.2704,6.7296
SOL,T-5,BELOW_0.01,5,-5.0,0,0,5.0,0,5.0
SOL,T-5,"[0.01,0.05)",158,50.3333,9,116.0,147.0,81.3333,65.6667
SOL,T-5,"[0.05,0.10)",122,-70.8889,11,-11.0,108.0,48.1111,59.8889
SOL,T-5,"[0.10,0.15)",80,-20.6565,18,-1.7662,57.0,38.1098,18.8902
SOL,T-5,"[0.15,0.20)",67,-15.5423,20,-2.9313,41.0,28.389,12.611
SOL,T-5,"[0.20,0.25)",57,-12.3656,19,-6.1377,31.0,24.7721,6.2279
SOL,T-5,"[0.25,0.30)",56,3.6894,23,-4.4089,22.0,30.0983,-8.0983
SOL,T-5,"[0.30,0.35)",38,-3.6897,17,-1.2681,15.0,12.5784,2.4216
SOL,T-5,"[0.35,0.40)",42,11.987,20,14.8975,15.0,12.0895,2.9105
SOL,T-5,"[0.40,0.50)",80,6.9308,31,13.5521,30.0,23.3787,6.6213
SOL,T-5,"[0.50,0.60)",25,-1.347,6,-0.0784,10.0,8.7314,1.2686
SOL,T-5,"[0.60,0.70)",1,-1.0,0,0,1.0,0,1.0
