entry_policy,asset,entry_rule,price_bin,n_c0,gross_c0,n_ct,gross_ct,prevented_losses,missed_wins,net_diff
GRID,DOGE,T-12,"[0.90,0.99]",15,-4.8062,0,0,5.0,0.1938,4.8062
GRID,DOGE,T-5,"[0.01,0.05)",117,-42.0,10,40.0,106.0,24.0,82.0
GRID,DOGE,T-5,"[0.05,0.10)",136,-42.4286,13,19.5,119.0,57.0714,61.9286
GRID,DOGE,T-5,"[0.10,0.15)",90,-36.0606,15,-6.6667,70.0,40.6061,29.3939
GRID,DOGE,T-5,"[0.15,0.20)",63,-17.3903,22,-10.1944,35.0,27.8042,7.1958
GRID,DOGE,T-5,"[0.20,0.25)",50,-13.6989,23,-0.5922,24.0,10.8933,13.1067
GRID,DOGE,T-5,"[0.25,0.30)",49,-23.1246,19,-15.0,24.0,15.8754,8.1246
GRID,DOGE,T-5,"[0.30,0.35)",36,-4.5049,20,-0.8272,12.0,8.3223,3.6777
GRID,DOGE,T-5,"[0.35,0.40)",52,4.7843,31,4.1194,13.0,13.6649,-0.6649
GRID,DOGE,T-5,"[0.40,0.50)",80,4.537,32,4.2791,27.0,27.2579,-0.2579
GRID,DOGE,T-5,"[0.50,0.60)",25,-1.8668,12,-6.1916,4.0,8.3249,-4.3249
GRID,DOGE,T-5,"[0.60,0.70)",1,-1.0,1,-1.0,0,0,0.0
GRID,DOGE,T-5,"[0.90,0.99]",3,-1.9899,0,0,2.0,0.0101,1.9899
GRID,DOGE,T-8,"[0.01,0.05)",26,74.0,1,-1.0,22.0,97.0,-75.0
GRID,DOGE,T-8,"[0.05,0.10)",82,-82.0,3,-3.0,79.0,0,79.0
GRID,DOGE,T-8,"[0.10,0.15)",85,-1.8798,5,5.0,71.0,64.1202,6.8798
GRID,DOGE,T-8,"[0.15,0.20)",75,-35.0211,12,5.3955,59.0,18.5834,40.4166
GRID,DOGE,T-8,"[0.20,0.25)",80,-2.284,20,12.508,50.0,35.208,14.792
GRID,DOGE,T-8,"[0.25,0.30)",72,-20.516,28,-17.0019,33.0,29.4858,3.5142
GRID,DOGE,T-8,"[0.30,0.35)",61,-2.0902,25,-0.7348,25.0,23.6446,1.3554
GRID,DOGE,T-8,"[0.35,0.40)",47,9.9268,23,4.5928,13.0,18.334,-5.334
GRID,DOGE,T-8,"[0.40,0.50)",134,8.9444,67,2.1142,34.0,40.8302,-6.8302
GRID,DOGE,T-8,"[0.50,0.60)",33,-7.9253,16,-2.5882,11.0,5.6628,5.3372
GRID,DOGE,T-8,"[0.60,0.70)",1,-1.0,1,-1.0,0,0,0.0
GRID,DOGE,T-8,"[0.90,0.99]",3,-1.9899,0,0,2.0,0.0101,1.9899
GRID,ETH,T-12,"[0.01,0.05)",3,-3.0,0,0,3.0,0,3.0
GRID,ETH,T-12,"[0.05,0.10)",21,5.7857,0,0,19.0,24.7857,-5.7857
GRID,ETH,T-12,"[0.10,0.15)",43,-11.29,0,0,39.0,27.71,11.29
GRID,ETH,T-12,"[0.15,0.20)",64,-5.5424,0,0,54.0,48.4576,5.5424
GRID,ETH,T-12,"[0.20,0.25)",74,-5.9132,0,0,59.0,53.0868,5.9132
GRID,ETH,T-12,"[0.25,0.30)",98,-20.3121,3,0.4483,75.0,54.2397,20.7603
GRID,ETH,T-12,"[0.30,0.35)",136,-15.7333,16,2.2046,87.0,69.062,17.938
GRID,ETH,T-12,"[0.35,0.40)",141,-16.8825,44,-1.0053,67.0,51.1228,15.8772
GRID,ETH,T-12,"[0.40,0.50)",276,-6.115,123,-16.2431,80.0,90.1281,-10.1281
