measure,n,days,win_rate,pnl,expectancy,avg_win,avg_loss,payoff,max_drawdown,median,top1,top3_share,top5_share,ex_top5_pnl,entry_policy,entry_rule,asset,variant,price_bin,status,exp_ci95,p_perm,day_var,holm_adj_p
gross,24,12,0.375,4.1862,0.174427,2.1318,-1.0,2.1318,7.0,-1.0,2.3333,1.6465,2.6858,-7.057,FUNNEL,FUNNEL_OBSERVED,BTC,NO_OUTSIDER,"[0.30,0.35)",OK,"[-0.345185, 1.025762]",0.292354,4.573026,1.0
gross,84,27,0.381,2.1234,0.025278,1.6914,-1.0,1.6914,10.8168,-1.0,1.8571,2.6239,4.2983,-7.0036,FUNNEL,FUNNEL_OBSERVED,BTC,NO_OUTSIDER,"[0.35,0.40)",OK,"[-0.209342, 0.25549]",0.413793,3.696847,1.0
gross,822,29,0.4513,-13.0531,-0.01588,1.1804,-1.0,1.1804,46.8524,-1.0,1.5,-0.3447,-0.5746,-20.5531,FUNNEL,FUNNEL_OBSERVED,BTC,NO_OUTSIDER,"[0.40,0.50)",OK,"[-0.093816, 0.059085]",0.645677,35.013485,1.0
gross,241,29,0.5311,15.0,0.062241,1.0,-1.0,1.0,14.0,1.0,1.0,0.2,0.3333,10.0,FUNNEL,FUNNEL_OBSERVED,BTC,NO_OUTSIDER,"[0.50,0.60)",OK,"[-0.078838, 0.197368]",0.174913,9.560048,1.0
gross,15,10,0.6,1.9034,0.126894,0.8782,-1.0,0.8782,3.3357,0.8182,0.9231,1.4549,2.4248,-2.712,FUNNEL,FUNNEL_OBSERVED,BTC,YES_FAVORITE,"[0.50,0.60)",OK,"[-0.398893, 0.668432]",0.333833,1.620207,1.0
gross,15,11,0.6667,0.4951,0.033006,0.5495,-1.0,0.5495,4.0,0.4706,0.6667,3.9845,6.2082,-2.5785,FUNNEL,FUNNEL_OBSERVED,BTC,YES_FAVORITE,"[0.60,0.70)",OK,"[-0.420543, 0.48125]",0.495752,1.220453,1.0
gross,24,12,0.75,0.1074,0.004477,0.3393,-1.0,0.3393,2.2885,0.3158,0.4286,11.5966,18.6582,-1.8973,FUNNEL,FUNNEL_OBSERVED,BTC,YES_FAVORITE,"[0.70,0.80)",OK,"[-0.104525, 0.139405]",0.475762,0.169494,1.0
gross,33,19,0.8485,-0.0087,-0.000264,0.1783,-1.0,0.1783,3.2959,0.1628,0.25,-84.4234,-134.8801,-1.1823,FUNNEL,FUNNEL_OBSERVED,BTC,YES_FAVORITE,"[0.80,0.90)",OK,"[-0.143037, 0.174946]",0.536232,0.370571,1.0
gross,14,10,0.9286,-0.3442,-0.024587,0.0504,-1.0,0.0504,1.0,0.0417,0.1111,-0.8974,-1.3348,-0.8037,FUNNEL,FUNNEL_OBSERVED,BTC,YES_FAVORITE,"[0.90,0.99]",OK,"[-0.213518, 0.065268]",0.746127,0.10537,1.0
gross,1,1,0.0,-1.0,-1.0,0.0,-1.0,0.0,1.0,-1.0,-1.0,1.0,1.0,0.0,FUNNEL,FUNNEL_OBSERVED,BTC,YES_OUTSIDER,"[0.15,0.20)",INSUFFICIENT_SAMPLE,,,,
gross,1,1,1.0,3.3478,3.347826,3.3478,0.0,,0.0,3.3478,3.3478,1.0,1.0,0.0,FUNNEL,FUNNEL_OBSERVED,BTC,YES_OUTSIDER,"[0.20,0.25)",INSUFFICIENT_SAMPLE,,,,
gross,6,6,0.1667,-2.5517,-0.425287,2.4483,-1.0,2.4483,3.0,-1.0,2.4483,-0.1757,0.6081,-1.0,FUNNEL,FUNNEL_OBSERVED,BTC,YES_OUTSIDER,"[0.25,0.30)",INSUFFICIENT_SAMPLE,,,,
gross,27,15,0.4074,7.2162,0.267268,2.1106,-1.0,2.1106,6.0,-1.0,2.3333,0.9263,1.5152,-3.7179,FUNNEL,FUNNEL_OBSERVED,BTC,YES_OUTSIDER,"[0.30,0.35)",OK,"[-0.250848, 0.841808]",0.161919,3.614162,1.0
gross,73,24,0.4521,15.7027,0.215105,1.688,-1.0,1.688,7.3684,-1.0,1.8571,0.3548,0.5812,6.5757,FUNNEL,FUNNEL_OBSERVED,BTC,YES_OUTSIDER,"[0.35,0.40)",OK,"[-0.113338, 0.545272]",0.098451,5.707223,1.0
gross,697,27,0.4519,-9.7625,-0.014006,1.1817,-1.0,1.1817,32.3875,-1.0,1.5,-0.4609,-0.7682,-17.2625,FUNNEL,FUNNEL_OBSERVED,BTC,YES_OUTSIDER,"[0.40,0.50)",OK,"[-0.098309, 0.066614]",0.641179,30.044967,1.0
gross,161,27,0.5031,1.0,0.006211,1.0,-1.0,1.0,11.0,1.0,1.0,3.0,5.0,-4.0,FUNNEL,FUNNEL_OBSERVED,BTC,YES_OUTSIDER,"[0.50,0.60)",OK,"[-0.190476, 0.173469]",0.464768,8.628258,1.0
gross,339,29,0.4867,-31.8591,-0.09398,0.8615,-1.0,0.8615,37.6162,-1.0,0.9608,-0.0905,-0.1508,-36.663,FUNNEL,FUNNEL_OBSERVED,DOGE,NO_FAVORITE,"[0.50,0.60)",OK,"[-0.160187, -0.022308]",0.991504,5.445485,1.0
gross,87,17,0.5172,-15.5269,-0.17847,0.5883,-1.0,0.5883,15.5269,0.4493,0.6667,-0.1288,-0.2147,-18.8602,FUNNEL,FUNNEL_OBSERVED,DOGE,NO_FAVORITE,"[0.60,0.70)",OK,"[-0.364238, -0.024568]",0.994503,2.665601,1.0
gross,40,18,0.8,3.0051,0.075129,0.3439,-1.0,0.3439,1.6591,0.3333,0.4286,0.4278,0.6997,0.9025,FUNNEL,FUNNEL_OBSERVED,DOGE,NO_FAVORITE,"[0.70,0.80)",OK,"[-0.082684, 0.207974]",0.153923,0.452829,1.0
gross,30,19,0.8333,-0.6498,-0.021661,0.174,-1.0,0.174,1.7444,0.1696,0.25,-1.0603,-1.6907,-1.7485,FUNNEL,FUNNEL_OBSERVED,DOGE,NO_FAVORITE,"[0.80,0.90)",OK,"[-0.166734, 0.125782]",0.602199,0.281987,1.0
gross,50,21,0.7,-12.8609,-0.257218,0.0611,-1.0,0.0611,13.2533,0.0309,0.1111,-0.0259,-0.0422,-13.4042,FUNNEL,FUNNEL_OBSERVED,DOGE,NO_FAVORITE,"[0.90,0.99]",OK,"[-0.396803, -0.111502]",0.996502,0.898044,1.0
gross,1,1,1.0,10.1111,10.111111,10.1111,0.0,,0.0,10.1111,10.1111,1.0,1.0,0.0,FUNNEL,FUNNEL_OBSERVED,DOGE,NO_OUTSIDER,"[0.05,0.10)",INSUFFICIENT_SAMPLE,,,,
gross,2,2,0.0,-2.0,-1.0,0.0,-1.0,0.0,2.0,-1.0,-1.0,1.0,1.0,0.0,FUNNEL,FUNNEL_OBSERVED,DOGE,NO_OUTSIDER,"[0.10,0.15)",INSUFFICIENT_SAMPLE,,,,
gross,3,2,0.0,-3.0,-1.0,0.0,-1.0,0.0,3.0,-1.0,-1.0,1.0,1.0,0.0,FUNNEL,FUNNEL_OBSERVED,DOGE,NO_OUTSIDER,"[0.20,0.25)",INSUFFICIENT_SAMPLE,,,,
gross,3,2,0.3333,0.4483,0.149425,2.4483,-1.0,2.4483,1.0,-1.0,2.4483,1.0,1.0,0.0,FUNNEL,FUNNEL_OBSERVED,DOGE,NO_OUTSIDER,"[0.25,0.30)",INSUFFICIENT_SAMPLE,,,,
gross,33,16,0.2727,-5.5267,-0.167477,2.0526,-1.0,2.0526,12.0588,-1.0,2.125,-1.1535,-1.9053,-16.057,FUNNEL,FUNNEL_OBSERVED,DOGE,NO_OUTSIDER,"[0.30,0.35)",OK,"[-0.618079, 0.252311]",0.78061,3.122442,1.0
gross,76,25,0.3947,4.8794,0.064203,1.696,-1.0,1.696,12.3684,-1.0,1.8571,1.1418,1.8868,-4.3269,FUNNEL,FUNNEL_OBSERVED,DOGE,NO_OUTSIDER,"[0.35,0.40)",OK,"[-0.174827, 0.276014]",0.28086,2.829242,1.0
gross,471,30,0.4076,-53.9806,-0.114609,1.172,-1.0,1.172,61.5906,-1.0,1.5,-0.0834,-0.1389,-61.4806,FUNNEL,FUNNEL_OBSERVED,DOGE,NO_OUTSIDER,"[0.40,0.50)",OK,"[-0.206338, -0.019203]",0.983508,19.095188,1.0
gross,126,29,0.5317,8.0,0.063492,1.0,-1.0,1.0,8.0,1.0,1.0,0.375,0.625,3.0,FUNNEL,FUNNEL_OBSERVED,DOGE,NO_OUTSIDER,"[0.50,0.60)",OK,"[-0.114504, 0.229358]",0.238881,4.268728,1.0
gross,212,27,0.5047,-11.6192,-0.054807,0.8727,-1.0,0.8727,17.8896,0.6949,0.9608,-0.2481,-0.4134,-16.4231,FUNNEL,FUNNEL_OBSERVED,DOGE,YES_FAVORITE,"[0.50,0.60)",OK,"[-0.179482, 0.09373]",0.789605,8.252767,1.0
gross,59,19,0.6102,-2.368,-0.040135,0.5731,-1.0,0.5731,9.5629,0.4925,0.6667,-0.8446,-1.4077,-5.7013,FUNNEL,FUNNEL_OBSERVED,DOGE,YES_FAVORITE,"[0.60,0.70)",OK,"[-0.186598, 0.110605]",0.703148,1.060169,1.0
gross,22,15,0.8182,2.0373,0.092604,0.3354,-1.0,0.3354,1.7342,0.2987,0.4286,0.6212,1.003,-0.0061,FUNNEL,FUNNEL_OBSERVED,DOGE,YES_FAVORITE,"[0.70,0.80)",OK,"[-0.145477, 0.284268]",0.209395,0.431669,1.0
