opportunity_id,market_id,is_c0,is_ct,decision_at,reason,detail
3899006_2026-08-27T07:10:04.017643+00:00,3899006,True,False,2026-08-27T07:10:04.017643+00:00,TIMING_MISMATCH_PRIOR,"All YES requests were created before decision moment (min_dt=-539.6s, max_dt=-539.6s)"
3899091_2026-08-27T07:25:04.737281+00:00,3899091,True,False,2026-08-27T07:25:04.737281+00:00,DIRECTION_MISMATCH_NO,"Market had requests for ['NO'], but strategy bought YES"
3899199_2026-08-27T07:40:04.196720+00:00,3899199,False,False,2026-08-27T07:40:04.196720+00:00,DIRECTION_MISMATCH_NO,"Market had requests for ['NO'], but strategy bought YES"
3899377_2026-08-27T07:55:48.991484+00:00,3899377,False,False,2026-08-27T07:55:48.991484+00:00,NO_REQUEST_FOR_MARKET,No execution records found in database for this market
3899753_2026-08-27T08:25:04.002456+00:00,3899753,False,False,2026-08-27T08:25:04.002456+00:00,DIRECTION_MISMATCH_NO,"Market had requests for ['NO'], but strategy bought YES"
3899838_2026-08-27T08:40:07.875992+00:00,3899838,False,False,2026-08-27T08:40:07.875992+00:00,NO_REQUEST_FOR_MARKET,No execution records found in database for this market
3899968_2026-08-27T08:55:07.805924+00:00,3899968,True,False,2026-08-27T08:55:07.805924+00:00,DIRECTION_MISMATCH_NO,"Market had requests for ['NO'], but strategy bought YES"
3900083_2026-08-27T09:10:07.717458+00:00,3900083,False,False,2026-08-27T09:10:07.717458+00:00,NO_REQUEST_FOR_MARKET,No execution records found in database for this market
3900121_2026-08-27T09:25:07.711699+00:00,3900121,False,False,2026-08-27T09:25:07.711699+00:00,NO_REQUEST_FOR_MARKET,No execution records found in database for this market
3900215_2026-08-27T09:40:07.796978+00:00,3900215,True,False,2026-08-27T09:40:07.796978+00:00,NO_REQUEST_FOR_MARKET,No execution records found in database for this market
3900319_2026-08-27T09:55:07.658968+00:00,3900319,True,False,2026-08-27T09:55:07.658968+00:00,NO_REQUEST_FOR_MARKET,No execution records found in database for this market
3900360_2026-08-27T10:10:07.549610+00:00,3900360,False,False,2026-08-27T10:10:07.549610+00:00,NO_REQUEST_FOR_MARKET,No execution records found in database for this market
3900466_2026-08-27T10:25:07.566564+00:00,3900466,True,False,2026-08-27T10:25:07.566564+00:00,NO_REQUEST_FOR_MARKET,No execution records found in database for this market
3900507_2026-08-27T10:40:07.555589+00:00,3900507,True,False,2026-08-27T10:40:07.555589+00:00,NO_REQUEST_FOR_MARKET,No execution records found in database for this market
3900640_2026-08-27T10:55:07.719042+00:00,3900640,True,True,2026-08-27T10:55:07.719042+00:00,NO_REQUEST_FOR_MARKET,No execution records found in database for this market
3900963_2026-08-27T11:10:07.551184+00:00,3900963,False,False,2026-08-27T11:10:07.551184+00:00,NO_REQUEST_FOR_MARKET,No execution records found in database for this market
3901013_2026-08-27T11:25:07.557535+00:00,3901013,False,False,2026-08-27T11:25:07.557535+00:00,NO_REQUEST_FOR_MARKET,No execution records found in database for this market
3901064_2026-08-27T11:40:07.710821+00:00,3901064,True,True,2026-08-27T11:40:07.710821+00:00,NO_REQUEST_FOR_MARKET,No execution records found in database for this market
3901289_2026-08-27T12:10:09.450828+00:00,3901289,True,False,2026-08-27T12:10:09.450828+00:00,NO_REQUEST_FOR_MARKET,No execution records found in database for this market
3901449_2026-08-27T12:25:07.939560+00:00,3901449,False,False,2026-08-27T12:25:07.939560+00:00,TIMING_MISMATCH_PRIOR,"All YES requests were created before decision moment (min_dt=-445.5s, max_dt=-445.5s)"
3901484_2026-08-27T12:40:07.587589+00:00,3901484,True,False,2026-08-27T12:40:07.587589+00:00,TIMING_MISMATCH_PRIOR,"All YES requests were created before decision moment (min_dt=-419.9s, max_dt=-419.9s)"
3901914_2026-08-27T12:55:07.872915+00:00,3901914,False,False,2026-08-27T12:55:07.872915+00:00,TIMING_MISMATCH_PRIOR,"All YES requests were created before decision moment (min_dt=-239.7s, max_dt=-239.7s)"
3902001_2026-08-27T13:10:07.835099+00:00,3902001,False,False,2026-08-27T13:10:07.835099+00:00,TIMING_MISMATCH_PRIOR,"All YES requests were created before decision moment (min_dt=-254.8s, max_dt=-254.8s)"
3902071_2026-08-27T13:25:07.834510+00:00,3902071,False,False,2026-08-27T13:25:07.834510+00:00,TIMING_MISMATCH_PRIOR,"All YES requests were created before decision moment (min_dt=-164.9s, max_dt=-164.9s)"
3902108_2026-08-27T13:40:07.815386+00:00,3902108,True,True,2026-08-27T13:40:07.815386+00:00,TIMING_MISMATCH_PRIOR,"All YES requests were created before decision moment (min_dt=-509.6s, max_dt=-509.6s)"
3902303_2026-08-27T13:55:07.774079+00:00,3902303,False,False,2026-08-27T13:55:07.774079+00:00,TIMING_MISMATCH_PRIOR,"All YES requests were created before decision moment (min_dt=-434.6s, max_dt=-434.6s)"
3902389_2026-08-27T14:10:07.511371+00:00,3902389,True,True,2026-08-27T14:10:07.511371+00:00,TIMING_MISMATCH_PRIOR,"All YES requests were created before decision moment (min_dt=-299.5s, max_dt=-299.5s)"
3902499_2026-08-27T14:25:07.489496+00:00,3902499,False,False,2026-08-27T14:25:07.489496+00:00,DIRECTION_MISMATCH_NO,"Market had requests for ['NO'], but strategy bought YES"
3902642_2026-08-27T14:40:07.786133+00:00,3902642,False,False,2026-08-27T14:40:07.786133+00:00,TIMING_MISMATCH_PRIOR,"All YES requests were created before decision moment (min_dt=-240.1s, max_dt=-240.1s)"
3903008_2026-08-27T14:55:08.155805+00:00,3903008,True,False,2026-08-27T14:55:08.155805+00:00,NO_REQUEST_FOR_MARKET,No execution records found in database for this market
3903121_2026-08-27T15:10:07.568441+00:00,3903121,False,False,2026-08-27T15:10:07.568441+00:00,TIMING_MISMATCH_PRIOR,"All YES requests were created before decision moment (min_dt=-374.5s, max_dt=-374.5s)"
3903362_2026-08-27T15:25:07.739996+00:00,3903362,True,False,2026-08-27T15:25:07.739996+00:00,DIRECTION_MISMATCH_NO,"Market had requests for ['NO'], but strategy bought YES"
3903566_2026-08-27T15:40:07.480476+00:00,3903566,True,False,2026-08-27T15:40:07.480476+00:00,TIMING_MISMATCH_PRIOR,"All YES requests were created before decision moment (min_dt=-554.8s, max_dt=-554.8s)"
3903648_2026-08-27T15:55:07.521781+00:00,3903648,True,False,2026-08-27T15:55:07.521781+00:00,NO_REQUEST_FOR_MARKET,No execution records found in database for this market
3903851_2026-08-27T16:10:07.897319+00:00,3903851,True,False,2026-08-27T16:10:07.897319+00:00,NO_REQUEST_FOR_MARKET,No execution records found in database for this market
3903892_2026-08-27T16:25:07.719079+00:00,3903892,False,False,2026-08-27T16:25:07.719079+00:00,DIRECTION_MISMATCH_NO,"Market had requests for ['NO'], but strategy bought YES"
3903993_2026-08-27T16:40:07.542126+00:00,3903993,True,True,2026-08-27T16:40:07.542126+00:00,TIMING_MISMATCH_PRIOR,"All YES requests were created before decision moment (min_dt=-554.9s, max_dt=-554.9s)"
3904102_2026-08-27T16:55:07.500527+00:00,3904102,True,False,2026-08-27T16:55:07.500527+00:00,TIMING_MISMATCH_PRIOR,"All YES requests were created before decision moment (min_dt=-479.8s, max_dt=-479.8s)"
3904176_2026-08-27T17:10:07.840925+00:00,3904176,False,False,2026-08-27T17:10:07.840925+00:00,TIMING_MISMATCH_PRIOR,"All YES requests were created before decision moment (min_dt=-479.9s, max_dt=-479.9s)"
3904244_2026-08-27T17:25:07.762203+00:00,3904244,False,False,2026-08-27T17:25:07.762203+00:00,DIRECTION_MISMATCH_NO,"Market had requests for ['NO'], but strategy bought YES"
3904380_2026-08-27T17:40:07.765573+00:00,3904380,True,True,2026-08-27T17:40:07.765573+00:00,TIMING_MISMATCH_PRIOR,"All YES requests were created before decision moment (min_dt=-239.7s, max_dt=-239.7s)"
3904608_2026-08-27T17:55:07.642371+00:00,3904608,False,False,2026-08-27T17:55:07.642371+00:00,NO_REQUEST_FOR_MARKET,No execution records found in database for this market
3905237_2026-08-27T18:10:10.085919+00:00,3905237,True,False,2026-08-27T18:10:10.085919+00:00,NO_REQUEST_FOR_MARKET,No execution records found in database for this market
3905472_2026-08-27T18:25:07.789403+00:00,3905472,True,False,2026-08-27T18:25:07.789403+00:00,DIRECTION_MISMATCH_NO,"Market had requests for ['NO'], but strategy bought YES"
3905625_2026-08-27T18:40:07.474849+00:00,3905625,False,False,2026-08-27T18:40:07.474849+00:00,NO_REQUEST_FOR_MARKET,No execution records found in database for this market
3907383_2026-08-27T18:55:07.474908+00:00,3907383,False,False,2026-08-27T18:55:07.474908+00:00,NO_REQUEST_FOR_MARKET,No execution records found in database for this market
3909517_2026-08-27T19:10:07.663149+00:00,3909517,False,False,2026-08-27T19:10:07.663149+00:00,DIRECTION_MISMATCH_NO,"Market had requests for ['NO'], but strategy bought YES"
3910453_2026-08-27T19:25:07.480941+00:00,3910453,True,True,2026-08-27T19:25:07.480941+00:00,NO_REQUEST_FOR_MARKET,No execution records found in database for this market
3910705_2026-08-27T19:40:07.558722+00:00,3910705,True,False,2026-08-27T19:40:07.558722+00:00,DIRECTION_MISMATCH_NO,"Market had requests for ['NO'], but strategy bought YES"
3911030_2026-08-27T19:55:07.839724+00:00,3911030,False,False,2026-08-27T19:55:07.839724+00:00,NO_REQUEST_FOR_MARKET,No execution records found in database for this market
3911387_2026-08-27T20:10:07.816647+00:00,3911387,False,False,2026-08-27T20:10:07.816647+00:00,NO_REQUEST_FOR_MARKET,No execution records found in database for this market
3912017_2026-08-27T20:25:07.918610+00:00,3912017,False,False,2026-08-27T20:25:07.918610+00:00,TIMING_MISMATCH_PRIOR,"All YES requests were created before decision moment (min_dt=-299.8s, max_dt=-299.8s)"
3912160_2026-08-27T20:40:07.828187+00:00,3912160,False,False,2026-08-27T20:40:07.828187+00:00,NO_REQUEST_FOR_MARKET,No execution records found in database for this market
3912437_2026-08-27T20:55:07.581666+00:00,3912437,True,False,2026-08-27T20:55:07.581666+00:00,TIMING_MISMATCH_PRIOR,"All YES requests were created before decision moment (min_dt=-359.4s, max_dt=-359.4s)"
3912674_2026-08-27T21:10:07.870600+00:00,3912674,True,False,2026-08-27T21:10:07.870600+00:00,TIMING_MISMATCH_PRIOR,"All YES requests were created before decision moment (min_dt=-524.7s, max_dt=-524.7s)"
3912747_2026-08-27T21:25:07.621335+00:00,3912747,True,True,2026-08-27T21:25:07.621335+00:00,TIMING_MISMATCH_PRIOR,"All YES requests were created before decision moment (min_dt=-464.5s, max_dt=-464.5s)"
