opportunity_id,market_id,asset,calendar_date,decision_at,time_left_min,executable_ask,diagnostic_mid,diagnostic_half_spread,diagnostic_spread_cost,shares,target,gross_pnl,net_pnl,reproduced_net_pnl,historical_fee,historical_net_pnl,scenario_id,scenario_fee,scenario_net_pnl,sign_changed
3150049_2026-07-29T06:55:43.842135+00:00,3150049,BTC,2026-07-29,2026-07-29T06:55:43.842135+00:00,4.27,0.11,0.10500000000000001,0.0049999999999999906,0.04545449999999991,9.0909,0,-1.0,-1.002,-1.001998998,,,0.1% Demonstration Scenario,0.001,-1.000999,False
3151529_2026-07-29T10:25:43.512398+00:00,3151529,BTC,2026-07-29,2026-07-29T10:25:43.512398+00:00,4.27,0.13,0.125,0.0050000000000000044,0.03846150000000004,7.6923,0,-1.0,-1.002,-1.0019989980000001,,,0.1% Demonstration Scenario,0.001,-1.000999,False
3155014_2026-07-29T12:55:42.583079+00:00,3155014,BTC,2026-07-29,2026-07-29T12:55:42.583079+00:00,4.29,0.17,0.165,0.0050000000000000044,0.029412000000000025,5.8824,0,-1.0,-1.002,-1.002008016,,,0.1% Demonstration Scenario,0.001,-1.001008,False
3155768_2026-07-29T13:55:42.557456+00:00,3155768,BTC,2026-07-29,2026-07-29T13:55:42.557456+00:00,4.29,0.32,0.315,0.0050000000000000044,0.015625000000000014,3.125,1,2.125,2.123,2.123,,,0.1% Demonstration Scenario,0.001,2.124,False
3157228_2026-07-29T15:25:43.589858+00:00,3157228,BTC,2026-07-29,2026-07-29T15:25:43.589858+00:00,4.27,0.05,0.045,0.0050000000000000044,0.10000000000000009,20.0,0,-1.0,-1.002,-1.002,,,0.1% Demonstration Scenario,0.001,-1.001,False
3182746_2026-07-29T19:25:43.002914+00:00,3182746,BTC,2026-07-29,2026-07-29T19:25:43.002914+00:00,4.28,0.04,0.035,0.0049999999999999975,0.12499999999999994,25.0,0,-1.0,-1.002,-1.002,,,0.1% Demonstration Scenario,0.001,-1.001,False
3187613_2026-07-29T20:10:44.072599+00:00,3187613,BTC,2026-07-29,2026-07-29T20:10:44.072599+00:00,4.27,0.03,0.025,0.0049999999999999975,0.1666664999999999,33.3333,1,32.3333,32.3313,32.331301002,,,0.1% Demonstration Scenario,0.001,32.332301,False
3188372_2026-07-29T20:55:43.093513+00:00,3188372,BTC,2026-07-29,2026-07-29T20:55:43.093513+00:00,4.28,0.22,0.215,0.0050000000000000044,0.02272750000000002,4.5455,0,-1.0,-1.002,-1.00201002,,,0.1% Demonstration Scenario,0.001,-1.0010099999999997,False
3190201_2026-07-29T21:10:44.011497+00:00,3190201,BTC,2026-07-29,2026-07-29T21:10:44.011497+00:00,4.27,0.228,0.224,0.0040000000000000036,0.017544000000000014,4.386,0,-1.0,-1.002,-1.002008016,,,0.1% Demonstration Scenario,0.001,-1.001008,False
3196869_2026-07-30T04:25:29.896765+00:00,3196869,BTC,2026-07-30,2026-07-30T04:25:29.896765+00:00,4.5,0.12,0.11499999999999999,0.0050000000000000044,0.04166650000000004,8.3333,0,-1.0,-1.002,-1.001995992,,,0.1% Demonstration Scenario,0.001,-1.0009959999999998,False
3199352_2026-07-30T06:55:28.813623+00:00,3199352,BTC,2026-07-30,2026-07-30T06:55:28.813623+00:00,4.52,0.35,0.345,0.0050000000000000044,0.014285500000000012,2.8571,0,-1.0,-1.002,-1.0019849699999999,,,0.1% Demonstration Scenario,0.001,-1.0009849999999998,False
3199615_2026-07-30T07:55:31.224454+00:00,3199615,BTC,2026-07-30,2026-07-30T07:55:31.224454+00:00,4.48,0.14,0.135,0.0050000000000000044,0.03571450000000003,7.1429,0,-1.0,-1.002,-1.0020060120000003,,,0.1% Demonstration Scenario,0.001,-1.001006,False
3215202_2026-07-31T01:25:29.266076+00:00,3215202,BTC,2026-07-31,2026-07-31T01:25:29.266076+00:00,4.51,0.19,0.185,0.0050000000000000044,0.026316000000000023,5.2632,0,-1.0,-1.002,-1.002008016,,,0.1% Demonstration Scenario,0.001,-1.001008,False
3218942_2026-07-31T05:25:33.657269+00:00,3218942,BTC,2026-07-31,2026-07-31T05:25:33.657269+00:00,4.44,0.1,0.095,0.0050000000000000044,0.050000000000000044,10.0,0,-1.0,-1.002,-1.002,,,0.1% Demonstration Scenario,0.001,-1.001,False
3220686_2026-07-31T11:55:11.797834+00:00,3220686,BTC,2026-07-31,2026-07-31T11:55:11.797834+00:00,4.8,0.29,0.28500000000000003,0.004999999999999949,0.017241499999999823,3.4483,0,-1.0,-1.002,-1.002007014,,,0.1% Demonstration Scenario,0.001,-1.0010069999999998,False
3222390_2026-07-31T14:25:16.156643+00:00,3222390,BTC,2026-07-31,2026-07-31T14:25:16.156643+00:00,4.73,0.35,0.345,0.0050000000000000044,0.014285500000000012,2.8571,0,-1.0,-1.002,-1.0019849699999999,,,0.1% Demonstration Scenario,0.001,-1.0009849999999998,False
3222933_2026-07-31T15:25:16.689530+00:00,3222933,BTC,2026-07-31,2026-07-31T15:25:16.689530+00:00,4.72,0.21,0.20500000000000002,0.004999999999999977,0.023809499999999886,4.7619,0,-1.0,-1.002,-1.001998998,,,0.1% Demonstration Scenario,0.001,-1.000999,False
3223128_2026-07-31T15:55:18.081018+00:00,3223128,BTC,2026-07-31,2026-07-31T15:55:18.081018+00:00,4.7,0.4,0.395,0.0050000000000000044,0.012500000000000011,2.5,0,-1.0,-1.002,-1.002,,,0.1% Demonstration Scenario,0.001,-1.001,False
3226521_2026-07-31T17:10:13.018095+00:00,3226521,BTC,2026-07-31,2026-07-31T17:10:13.018095+00:00,4.78,0.29,0.28,0.009999999999999953,0.03448299999999984,3.4483,1,2.4483,2.4463,2.4462929860000004,,,0.1% Demonstration Scenario,0.001,2.4472930000000006,False
3231554_2026-07-31T20:40:11.873212+00:00,3231554,BTC,2026-07-31,2026-07-31T20:40:11.873212+00:00,4.8,0.07,0.065,0.0050000000000000044,0.07142850000000006,14.2857,0,-1.0,-1.002,-1.0019989980000001,,,0.1% Demonstration Scenario,0.001,-1.000999,False
3231676_2026-07-31T20:55:13.974461+00:00,3231676,BTC,2026-07-31,2026-07-31T20:55:13.974461+00:00,4.77,0.17,0.165,0.0050000000000000044,0.029412000000000025,5.8824,0,-1.0,-1.002,-1.002008016,,,0.1% Demonstration Scenario,0.001,-1.001008,False
3234658_2026-08-01T01:25:14.110270+00:00,3234658,BTC,2026-08-01,2026-08-01T01:25:14.110270+00:00,4.76,0.4,0.395,0.0050000000000000044,0.012500000000000011,2.5,0,-1.0,-1.002,-1.002,,,0.1% Demonstration Scenario,0.001,-1.001,False
3235397_2026-08-01T02:55:13.675008+00:00,3235397,BTC,2026-08-01,2026-08-01T02:55:13.675008+00:00,4.77,0.16,0.155,0.0050000000000000044,0.03125000000000003,6.25,0,-1.0,-1.002,-1.002,,,0.1% Demonstration Scenario,0.001,-1.001,False
3237617_2026-08-01T05:25:15.968299+00:00,3237617,BTC,2026-08-01,2026-08-01T05:25:15.968299+00:00,4.73,0.13,0.125,0.0050000000000000044,0.03846150000000004,7.6923,0,-1.0,-1.002,-1.0019989980000001,,,0.1% Demonstration Scenario,0.001,-1.000999,False
3240394_2026-08-01T13:10:15.328403+00:00,3240394,BTC,2026-08-01,2026-08-01T13:10:15.328403+00:00,4.74,0.28,0.24000000000000002,0.04000000000000001,0.14285600000000004,3.5714,0,-1.0,-1.002,-1.001991984,,,0.1% Demonstration Scenario,0.001,-1.000992,False
3247798_2026-08-01T21:40:57.875343+00:00,3247798,BTC,2026-08-01,2026-08-01T21:40:57.875343+00:00,4.04,0.32,0.315,0.0050000000000000044,0.015625000000000014,3.125,1,2.125,2.123,2.123,,,0.1% Demonstration Scenario,0.001,2.124,False
3252038_2026-08-02T00:25:14.819312+00:00,3252038,BTC,2026-08-02,2026-08-02T00:25:14.819312+00:00,4.75,0.26,0.255,0.0050000000000000044,0.01923100000000002,3.8462,0,-1.0,-1.002,-1.0020120240000001,,,0.1% Demonstration Scenario,0.001,-1.001012,False
3254692_2026-08-02T04:40:53.447111+00:00,3254692,BTC,2026-08-02,2026-08-02T04:40:53.447111+00:00,4.11,0.21,0.20500000000000002,0.004999999999999977,0.023809499999999886,4.7619,0,-1.0,-1.002,-1.001998998,,,0.1% Demonstration Scenario,0.001,-1.000999,False
3258612_2026-08-02T06:55:07.142696+00:00,3258612,BTC,2026-08-02,2026-08-02T06:55:07.142696+00:00,4.88,0.34,0.335,0.0050000000000000044,0.014706000000000012,2.9412,0,-1.0,-1.002,-1.002008016,,,0.1% Demonstration Scenario,0.001,-1.001008,False
3259929_2026-08-02T10:55:09.518351+00:00,3259929,BTC,2026-08-02,2026-08-02T10:55:09.518351+00:00,4.84,0.36,0.355,0.0050000000000000044,0.013889000000000012,2.7778,1,1.7778,1.7758,1.775791984,,,0.1% Demonstration Scenario,0.001,1.7767920000000001,False
3262372_2026-08-02T15:25:08.173845+00:00,3262372,BTC,2026-08-02,2026-08-02T15:25:08.173845+00:00,4.86,0.37,0.365,0.0050000000000000044,0.013513500000000013,2.7027,1,1.7027,1.7007,1.7007010020000002,,,0.1% Demonstration Scenario,0.001,1.7017010000000004,False
3271345_2026-08-02T19:10:05.595700+00:00,3271345,BTC,2026-08-02,2026-08-02T19:10:05.595700+00:00,4.91,0.29,0.28500000000000003,0.004999999999999949,0.017241499999999823,3.4483,0,-1.0,-1.002,-1.002007014,,,0.1% Demonstration Scenario,0.001,-1.0010069999999998,False
3273936_2026-08-02T20:25:04.996463+00:00,3273936,BTC,2026-08-02,2026-08-02T20:25:04.996463+00:00,4.92,0.05,0.045,0.0050000000000000044,0.10000000000000009,20.0,0,-1.0,-1.002,-1.002,,,0.1% Demonstration Scenario,0.001,-1.001,False
3275478_2026-08-02T21:40:05.701560+00:00,3275478,BTC,2026-08-02,2026-08-02T21:40:05.701560+00:00,4.9,0.18,0.175,0.0050000000000000044,0.027778000000000025,5.5556,1,4.5556,4.5536,4.553591984,,,0.1% Demonstration Scenario,0.001,4.5545919999999995,False
3277876_2026-08-02T23:40:04.939604+00:00,3277876,BTC,2026-08-02,2026-08-02T23:40:04.939604+00:00,4.92,0.34,0.335,0.0050000000000000044,0.014706000000000012,2.9412,0,-1.0,-1.002,-1.002008016,,,0.1% Demonstration Scenario,0.001,-1.001008,False
3278098_2026-08-03T00:25:07.214066+00:00,3278098,BTC,2026-08-03,2026-08-03T00:25:07.214066+00:00,4.88,0.14,0.135,0.0050000000000000044,0.03571450000000003,7.1429,0,-1.0,-1.002,-1.0020060120000003,,,0.1% Demonstration Scenario,0.001,-1.001006,False
3278840_2026-08-03T02:10:27.181861+00:00,3278840,BTC,2026-08-03,2026-08-03T02:10:27.181861+00:00,4.55,0.1,0.095,0.0050000000000000044,0.050000000000000044,10.0,0,-1.0,-1.002,-1.002,,,0.1% Demonstration Scenario,0.001,-1.001,False
3279418_2026-08-03T03:40:27.841686+00:00,3279418,BTC,2026-08-03,2026-08-03T03:40:27.841686+00:00,4.54,0.2,0.195,0.0050000000000000044,0.025000000000000022,5.0,0,-1.0,-1.002,-1.002,,,0.1% Demonstration Scenario,0.001,-1.001,False
3282523_2026-08-03T05:25:26.176365+00:00,3282523,BTC,2026-08-03,2026-08-03T05:25:26.176365+00:00,4.56,0.31,0.305,0.0050000000000000044,0.016129000000000015,3.2258,0,-1.0,-1.002,-1.0019979959999998,,,0.1% Demonstration Scenario,0.001,-1.0009979999999998,False
3283767_2026-08-03T07:55:00.452132+00:00,3283767,BTC,2026-08-03,2026-08-03T07:55:00.452132+00:00,4.99,0.3,0.295,0.0050000000000000044,0.016666500000000015,3.3333,0,-1.0,-1.002,-1.0019899799999998,,,0.1% Demonstration Scenario,0.001,-1.0009899999999998,False
3286176_2026-08-03T10:10:32.898772+00:00,3286176,BTC,2026-08-03,2026-08-03T10:10:32.898772+00:00,4.45,0.03,0.025,0.0049999999999999975,0.1666664999999999,33.3333,0,-1.0,-1.002,-1.001998998,,,0.1% Demonstration Scenario,0.001,-1.000999,False
3293252_2026-08-03T19:55:15.847451+00:00,3293252,BTC,2026-08-03,2026-08-03T19:55:15.847451+00:00,4.74,0.22,0.215,0.0050000000000000044,0.02272750000000002,4.5455,0,-1.0,-1.002,-1.00201002,,,0.1% Demonstration Scenario,0.001,-1.0010099999999997,False
3295583_2026-08-03T21:25:17.418174+00:00,3295583,BTC,2026-08-03,2026-08-03T21:25:17.418174+00:00,4.71,0.39,0.385,0.0050000000000000044,0.01282050000000001,2.5641,1,1.5641,1.5621,1.562101002,,,0.1% Demonstration Scenario,0.001,1.563101,False
3296364_2026-08-03T23:10:19.207725+00:00,3296364,BTC,2026-08-03,2026-08-03T23:10:19.207725+00:00,4.68,0.16,0.155,0.0050000000000000044,0.03125000000000003,6.25,0,-1.0,-1.002,-1.002,,,0.1% Demonstration Scenario,0.001,-1.001,False
3298250_2026-08-04T03:55:40.042105+00:00,3298250,BTC,2026-08-04,2026-08-04T03:55:40.042105+00:00,4.33,0.21,0.20500000000000002,0.004999999999999977,0.023809499999999886,4.7619,0,-1.0,-1.002,-1.001998998,,,0.1% Demonstration Scenario,0.001,-1.000999,False
3301393_2026-08-04T08:10:39.712607+00:00,3301393,BTC,2026-08-04,2026-08-04T08:10:39.712607+00:00,4.34,0.28,0.275,0.0050000000000000044,0.017857000000000015,3.5714,0,-1.0,-1.002,-1.001991984,,,0.1% Demonstration Scenario,0.001,-1.000992,False
3302558_2026-08-04T14:25:44.510968+00:00,3302558,BTC,2026-08-04,2026-08-04T14:25:44.510968+00:00,4.26,0.31,0.305,0.0050000000000000044,0.016129000000000015,3.2258,1,2.2258,2.2238,2.223802004,,,0.1% Demonstration Scenario,0.001,2.224802,False
3302609_2026-08-04T14:55:39.771744+00:00,3302609,BTC,2026-08-04,2026-08-04T14:55:39.771744+00:00,4.34,0.33,0.325,0.0050000000000000044,0.015151500000000014,3.0303,1,2.0303,2.0283,2.0283010019999996,,,0.1% Demonstration Scenario,0.001,2.029301,False
3302739_2026-08-04T15:10:36.406015+00:00,3302739,BTC,2026-08-04,2026-08-04T15:10:36.406015+00:00,4.39,0.22,0.215,0.0050000000000000044,0.02272750000000002,4.5455,0,-1.0,-1.002,-1.00201002,,,0.1% Demonstration Scenario,0.001,-1.0010099999999997,False
3320383_2026-08-04T21:55:07.648831+00:00,3320383,BTC,2026-08-04,2026-08-04T21:55:07.648831+00:00,4.87,0.04,0.035,0.0049999999999999975,0.12499999999999994,25.0,0,-1.0,-1.002,-1.002,,,0.1% Demonstration Scenario,0.001,-1.001,False
3320920_2026-08-04T22:25:08.700532+00:00,3320920,BTC,2026-08-04,2026-08-04T22:25:08.700532+00:00,4.85,0.2,0.195,0.0050000000000000044,0.025000000000000022,5.0,1,4.0,3.998,3.998,,,0.1% Demonstration Scenario,0.001,3.999,False
3323204_2026-08-04T23:25:08.959154+00:00,3323204,BTC,2026-08-04,2026-08-04T23:25:08.959154+00:00,4.85,0.04,0.035,0.0049999999999999975,0.12499999999999994,25.0,0,-1.0,-1.002,-1.002,,,0.1% Demonstration Scenario,0.001,-1.001,False
3324443_2026-08-05T02:25:07.666789+00:00,3324443,BTC,2026-08-05,2026-08-05T02:25:07.666789+00:00,4.87,0.209,0.2085,0.0005000000000000004,0.0023923500000000023,4.7847,0,-1.0,-1.002,-1.0020023046,,,0.1% Demonstration Scenario,0.001,-1.0010023,False
3328632_2026-08-05T06:10:55.889480+00:00,3328632,BTC,2026-08-05,2026-08-05T06:10:55.889480+00:00,4.07,0.4,0.395,0.0050000000000000044,0.012500000000000011,2.5,0,-1.0,-1.002,-1.002,,,0.1% Demonstration Scenario,0.001,-1.001,False
3328952_2026-08-05T06:55:07.112448+00:00,3328952,BTC,2026-08-05,2026-08-05T06:55:07.112448+00:00,4.88,0.09,0.08499999999999999,0.0050000000000000044,0.05555550000000005,11.1111,0,-1.0,-1.002,-1.001998998,,,0.1% Demonstration Scenario,0.001,-1.000999,False
3329159_2026-08-05T07:40:52.116710+00:00,3329159,BTC,2026-08-05,2026-08-05T07:40:52.116710+00:00,4.13,0.31,0.305,0.0050000000000000044,0.016129000000000015,3.2258,0,-1.0,-1.002,-1.0019979959999998,,,0.1% Demonstration Scenario,0.001,-1.0009979999999998,False
3332063_2026-08-05T10:10:46.053298+00:00,3332063,BTC,2026-08-05,2026-08-05T10:10:46.053298+00:00,4.23,0.13,0.125,0.0050000000000000044,0.03846150000000004,7.6923,0,-1.0,-1.002,-1.0019989980000001,,,0.1% Demonstration Scenario,0.001,-1.000999,False
3338121_2026-08-05T15:25:20.404738+00:00,3338121,BTC,2026-08-05,2026-08-05T15:25:20.404738+00:00,4.66,0.04,0.035,0.0049999999999999975,0.12499999999999994,25.0,0,-1.0,-1.002,-1.002,,,0.1% Demonstration Scenario,0.001,-1.001,False
3347012_2026-08-05T20:40:12.957383+00:00,3347012,BTC,2026-08-05,2026-08-05T20:40:12.957383+00:00,4.78,0.23,0.225,0.0050000000000000044,0.021739000000000022,4.3478,0,-1.0,-1.002,-1.0019939880000002,,,0.1% Demonstration Scenario,0.001,-1.0009940000000002,False
3348073_2026-08-05T22:55:07.151683+00:00,3348073,BTC,2026-08-05,2026-08-05T22:55:07.151683+00:00,4.88,0.08,0.07500000000000001,0.0049999999999999906,0.06249999999999988,12.5,0,-1.0,-1.002,-1.002,,,0.1% Demonstration Scenario,0.001,-1.001,False
3350959_2026-08-06T01:10:07.206582+00:00,3350959,BTC,2026-08-06,2026-08-06T01:10:07.206582+00:00,4.88,0.32,0.315,0.0050000000000000044,0.015625000000000014,3.125,0,-1.0,-1.002,-1.002,,,0.1% Demonstration Scenario,0.001,-1.001,False
3351487_2026-08-06T02:25:06.978169+00:00,3351487,BTC,2026-08-06,2026-08-06T02:25:06.978169+00:00,4.88,0.33,0.325,0.0050000000000000044,0.015151500000000014,3.0303,0,-1.0,-1.002,-1.0019989980000001,,,0.1% Demonstration Scenario,0.001,-1.000999,False
3351757_2026-08-06T02:55:07.064771+00:00,3351757,BTC,2026-08-06,2026-08-06T02:55:07.064771+00:00,4.88,0.28,0.275,0.0050000000000000044,0.017857000000000015,3.5714,1,2.5714,2.5694,2.569408016,,,0.1% Demonstration Scenario,0.001,2.570408,False
3352079_2026-08-06T03:55:08.017667+00:00,3352079,BTC,2026-08-06,2026-08-06T03:55:08.017667+00:00,4.87,0.36,0.355,0.0050000000000000044,0.013889000000000012,2.7778,1,1.7778,1.7758,1.775791984,,,0.1% Demonstration Scenario,0.001,1.7767920000000001,False
3352832_2026-08-06T04:40:10.675379+00:00,3352832,BTC,2026-08-06,2026-08-06T04:40:10.675379+00:00,4.82,0.24,0.235,0.0050000000000000044,0.020833500000000015,4.1667,0,-1.0,-1.002,-1.0020080159999998,,,0.1% Demonstration Scenario,0.001,-1.0010079999999997,False
