opportunity_id,market_id,asset,calendar_date,decision_at,time_left_min,best_bid,best_ask,executable_ask,spread,final_outcome,target,is_candidate_price,former_favorite_group,token_regime_CT,token_er,token_sign_flips,token_autocorr,spot_regime_CS,spot_er,spot_regime_CS_short,spot_short_reason,spot_price_at_decision,proxy_strike,proxy_reversion_helps,shares,gross_pnl,taker_fee,net_pnl,cohort_tag,neither_subgroup,variants,execution_sim,exclusion_reason,reproduced_fee,reproduced_net_pnl,new_fee,purchase_cash,settlement_proceeds,new_net_pnl,unknown_fee,gross_positive,net_positive,sign_changed
3509965_2026-08-12T08:40:25.185130+00:00,3509965,BTC,2026-08-12,2026-08-12T08:40:25.185130+00:00,4.58,0.11,0.12,0.12,0.01,NO,0,True,PERSISTENT_CHEAP,REVERSION,0.2113,0.75,-0.5515,UNCERTAIN,0.112,UNCERTAIN,STALE_UNDERLYING,63802.0,63824.47,False,8.3333,-1.0,0.002,-1.002,CT-only,,"{'C0': True, 'CT': True, 'CS': False, 'CS_short': False, 'C1': True, 'CT_plus_canonical_strike': False, 'CT_plus_proxy_strike': False}",BLOCKED_DATA,,0.001999992,-1.001999992,0.0,0.9999959999999999,0.0,-0.9999959999999999,,False,False,False
3511964_2026-08-12T11:10:14.083903+00:00,3511964,BTC,2026-08-12,2026-08-12T11:10:14.083903+00:00,4.77,0.29,0.3,0.3,0.01,NO,0,True,FORMER_FAVORITE,REVERSION,0.3379,0.4545,-0.0931,REVERSION,0.1635,UNCERTAIN,STALE_UNDERLYING,64124.0,64143.36,False,3.3333,-1.0,0.002,-1.002,Both,,"{'C0': True, 'CT': True, 'CS': True, 'CS_short': False, 'C1': True, 'CT_plus_canonical_strike': False, 'CT_plus_proxy_strike': False}",BLOCKED_DATA,,0.0019999799999999997,-1.00199998,0.0,0.9999899999999999,0.0,-0.9999899999999999,,False,False,False
3516686_2026-08-12T15:25:21.364295+00:00,3516686,BTC,2026-08-12,2026-08-12T15:25:21.364295+00:00,4.64,0.22,0.23,0.23,0.01,NO,0,True,FORMER_FAVORITE,REVERSION,0.3846,0.6364,-0.1019,UNCERTAIN,0.512,UNCERTAIN,STALE_UNDERLYING,63482.13,63500.01,False,4.3478,-1.0,0.002,-1.002,CT-only,,"{'C0': True, 'CT': True, 'CS': False, 'CS_short': False, 'C1': True, 'CT_plus_canonical_strike': False, 'CT_plus_proxy_strike': False}",BLOCKED_DATA,,0.0019999880000000003,-1.001999988,0.0,0.9999940000000002,0.0,-0.9999940000000002,,False,False,False
3516792_2026-08-12T15:55:22.489903+00:00,3516792,BTC,2026-08-12,2026-08-12T15:55:22.489903+00:00,4.63,0.24,0.25,0.25,0.01,NO,0,True,OTHER_TRAJECTORY,REVERSION,0.2791,0.6364,-0.556,REVERSION,0.0198,UNCERTAIN,STALE_UNDERLYING,63504.14,63530.01,False,4.0,-1.0,0.002,-1.002,Both,,"{'C0': True, 'CT': True, 'CS': True, 'CS_short': False, 'C1': True, 'CT_plus_canonical_strike': False, 'CT_plus_proxy_strike': False}",BLOCKED_DATA,,0.002,-1.002,0.0,1.0,0.0,-1.0,,False,False,False
3517214_2026-08-12T16:10:21.377703+00:00,3517214,BTC,2026-08-12,2026-08-12T16:10:21.377703+00:00,4.64,0.27,0.28,0.28,0.01,YES,1,True,FORMER_FAVORITE,REVERSION,0.3008,0.6667,-0.2494,UNCERTAIN,0.5003,UNCERTAIN,STALE_UNDERLYING,63420.11,63441.48,True,3.5714,2.5714,0.002,2.5694,CT-only,,"{'C0': True, 'CT': True, 'CS': False, 'CS_short': False, 'C1': True, 'CT_plus_canonical_strike': False, 'CT_plus_proxy_strike': True}",BLOCKED_DATA,,0.0019999840000000002,2.5694000160000003,0.0,0.9999920000000001,3.5714,2.571408,,True,True,False
3517832_2026-08-12T16:55:21.357582+00:00,3517832,BTC,2026-08-12,2026-08-12T16:55:21.357582+00:00,4.64,0.32,0.33,0.33,0.01,NO,0,True,OTHER_TRAJECTORY,REVERSION,0.0579,0.5455,-0.3935,TREND,0.69,UNCERTAIN,STALE_UNDERLYING,63494.0,63520.39,True,3.0303,-1.0,0.002,-1.002,CT-only,,"{'C0': True, 'CT': True, 'CS': False, 'CS_short': False, 'C1': True, 'CT_plus_canonical_strike': False, 'CT_plus_proxy_strike': True}",BLOCKED_DATA,,0.0019999980000000002,-1.001999998,0.0,0.9999990000000001,0.0,-0.9999990000000001,,False,False,False
3526366_2026-08-12T20:55:23.082551+00:00,3526366,BTC,2026-08-12,2026-08-12T20:55:23.082551+00:00,4.62,0.23,0.24,0.24,0.01,YES,1,True,FORMER_FAVORITE,REVERSION,0.3578,0.5,-0.2585,UNCERTAIN,0.2469,UNCERTAIN,STALE_UNDERLYING,63529.99,63546.0,False,4.1667,3.1667,0.002,3.1647,CT-only,,"{'C0': True, 'CT': True, 'CS': False, 'CS_short': False, 'C1': True, 'CT_plus_canonical_strike': False, 'CT_plus_proxy_strike': False}",BLOCKED_DATA,,0.0020000159999999994,3.164699984,0.0,1.0000079999999998,4.1667,3.166692,,True,True,False
3528405_2026-08-12T23:10:22.019176+00:00,3528405,BTC,2026-08-12,2026-08-12T23:10:22.019176+00:00,4.63,0.27,0.28,0.28,0.01,NO,0,True,FORMER_FAVORITE,REVERSION,0.2679,0.8333,-0.2078,REVERSION,0.2465,UNCERTAIN,STALE_UNDERLYING,63423.84,63432.28,False,3.5714,-1.0,0.002,-1.002,Both,,"{'C0': True, 'CT': True, 'CS': True, 'CS_short': False, 'C1': True, 'CT_plus_canonical_strike': False, 'CT_plus_proxy_strike': False}",BLOCKED_DATA,,0.0019999840000000002,-1.001999984,0.0,0.9999920000000001,0.0,-0.9999920000000001,,False,False,False
3532784_2026-08-13T02:40:32.538144+00:00,3532784,BTC,2026-08-13,2026-08-13T02:40:32.538144+00:00,4.46,0.19,0.2,0.2,0.01,YES,1,True,PERSISTENT_CHEAP,REVERSION,0.2391,0.6154,-0.3072,UNCERTAIN,0.4663,UNCERTAIN,STALE_UNDERLYING,63426.01,63470.01,False,5.0,4.0,0.002,3.998,CT-only,,"{'C0': True, 'CT': True, 'CS': False, 'CS_short': False, 'C1': True, 'CT_plus_canonical_strike': False, 'CT_plus_proxy_strike': False}",BLOCKED_DATA,,0.002,3.998,0.0,1.0,5.0,4.0,,True,True,False
3533024_2026-08-13T03:10:32.485814+00:00,3533024,BTC,2026-08-13,2026-08-13T03:10:32.485814+00:00,4.46,0.28,0.29,0.29,0.01,YES,1,True,OTHER_TRAJECTORY,REVERSION,0.1532,0.6,-0.258,UNCERTAIN,0.1858,UNCERTAIN,STALE_UNDERLYING,63518.86,63550.01,False,3.4483,2.4483,0.002,2.4463,CT-only,,"{'C0': True, 'CT': True, 'CS': False, 'CS_short': False, 'C1': True, 'CT_plus_canonical_strike': False, 'CT_plus_proxy_strike': False}",BLOCKED_DATA,,0.0020000139999999996,2.446299986,0.0,1.0000069999999999,3.4483,2.4482930000000005,,True,True,False
