asset,hour_group_utc,weekday,entry_policy,variant,n,days,win_rate,net_pnl,expectancy
ETH,06-12,5,GRID,YES_FAVORITE,101,4,0.7525,-2.6391,-0.02613
ETH,06-12,5,GRID,YES_OUTSIDER,105,4,0.2952,15.9354,0.151766
ETH,06-12,6,FUNNEL,NO_FAVORITE,2,2,0.5,-0.9247,-0.462365
ETH,06-12,6,FUNNEL,NO_OUTSIDER,25,3,0.4,-4.2792,-0.17117
ETH,06-12,6,FUNNEL,YES_OUTSIDER,21,2,0.4762,1.5114,0.07197
ETH,06-12,6,GRID,YES_FAVORITE,56,3,0.7321,-2.2364,-0.039935
ETH,06-12,6,GRID,YES_OUTSIDER,41,3,0.2195,16.2969,0.397485
ETH,12-18,0,FUNNEL,NO_FAVORITE,6,3,0.6667,-1.0212,-0.170192
ETH,12-18,0,FUNNEL,NO_OUTSIDER,26,4,0.5385,3.8727,0.148951
ETH,12-18,0,FUNNEL,YES_FAVORITE,3,1,0.6667,0.9216,0.307189
ETH,12-18,0,FUNNEL,YES_OUTSIDER,36,4,0.4444,-0.4947,-0.013742
ETH,12-18,0,GRID,YES_FAVORITE,45,4,0.8444,8.3327,0.18517
ETH,12-18,0,GRID,YES_OUTSIDER,67,4,0.2388,-18.8265,-0.280993
ETH,12-18,1,FUNNEL,NO_FAVORITE,5,4,0.4,-1.1161,-0.223228
ETH,12-18,1,FUNNEL,NO_OUTSIDER,50,4,0.44,-1.6007,-0.032013
ETH,12-18,1,FUNNEL,YES_OUTSIDER,43,5,0.3721,-8.9437,-0.207993
ETH,12-18,1,GRID,YES_FAVORITE,76,5,0.75,1.2075,0.015888
ETH,12-18,1,GRID,YES_OUTSIDER,88,5,0.2273,-29.7247,-0.33778
ETH,12-18,2,FUNNEL,NO_FAVORITE,13,4,0.6923,-0.0868,-0.006678
ETH,12-18,2,FUNNEL,NO_OUTSIDER,46,4,0.4348,-1.4619,-0.03178
ETH,12-18,2,FUNNEL,YES_FAVORITE,13,3,1.0,6.5571,0.504394
ETH,12-18,2,FUNNEL,YES_OUTSIDER,33,4,0.4242,-1.7952,-0.054401
ETH,12-18,2,GRID,YES_FAVORITE,72,5,0.8611,9.2141,0.127974
ETH,12-18,2,GRID,YES_OUTSIDER,90,5,0.2333,-10.9578,-0.121753
ETH,12-18,3,FUNNEL,NO_FAVORITE,2,2,1.0,0.9882,0.494108
ETH,12-18,3,FUNNEL,NO_OUTSIDER,41,4,0.3171,-12.7176,-0.310185
ETH,12-18,3,FUNNEL,YES_FAVORITE,1,1,1.0,0.9608,0.960784
ETH,12-18,3,FUNNEL,YES_OUTSIDER,51,4,0.451,-0.5133,-0.010065
ETH,12-18,3,GRID,YES_FAVORITE,117,4,0.8034,9.1708,0.078383
ETH,12-18,3,GRID,YES_OUTSIDER,110,4,0.2909,-7.5151,-0.068319
ETH,12-18,4,FUNNEL,NO_FAVORITE,3,3,0.6667,0.2108,0.070261
ETH,12-18,4,FUNNEL,NO_OUTSIDER,37,4,0.4324,1.2153,0.032847
ETH,12-18,4,FUNNEL,YES_OUTSIDER,32,4,0.4062,-1.8079,-0.056496
ETH,12-18,4,GRID,YES_FAVORITE,82,4,0.7805,3.9876,0.048629
ETH,12-18,4,GRID,YES_OUTSIDER,93,4,0.1828,-29.5134,-0.317348
ETH,12-18,5,FUNNEL,NO_FAVORITE,2,1,0.0,-2.0,-1.0
ETH,12-18,5,FUNNEL,NO_OUTSIDER,33,3,0.4242,-2.2662,-0.068673
ETH,12-18,5,FUNNEL,YES_FAVORITE,3,2,0.0,-3.0,-1.0
ETH,12-18,5,FUNNEL,YES_OUTSIDER,29,3,0.4828,0.0355,0.001225
ETH,12-18,5,GRID,YES_FAVORITE,96,3,0.7292,-0.0945,-0.000984
ETH,12-18,5,GRID,YES_OUTSIDER,62,3,0.2097,-24.3144,-0.392168
ETH,12-18,6,FUNNEL,NO_FAVORITE,6,2,0.6667,-0.537,-0.089502
ETH,12-18,6,FUNNEL,NO_OUTSIDER,23,3,0.3478,-5.8088,-0.252556
ETH,12-18,6,FUNNEL,YES_FAVORITE,6,2,0.8333,-0.4243,-0.070723
ETH,12-18,6,FUNNEL,YES_OUTSIDER,37,3,0.5135,6.2911,0.17003
ETH,12-18,6,GRID,YES_FAVORITE,68,3,0.8529,14.1497,0.208083
ETH,12-18,6,GRID,YES_OUTSIDER,48,3,0.2083,-20.76,-0.4325
ETH,18-24,0,FUNNEL,NO_FAVORITE,6,2,0.3333,-2.1901,-0.365022
ETH,18-24,0,FUNNEL,NO_OUTSIDER,32,3,0.5312,6.7503,0.210946
ETH,18-24,0,FUNNEL,YES_FAVORITE,6,2,0.5,-0.9552,-0.159202
ETH,18-24,0,FUNNEL,YES_OUTSIDER,33,4,0.3636,-7.4003,-0.224252
ETH,18-24,0,GRID,YES_FAVORITE,45,4,0.8,5.297,0.117712
ETH,18-24,0,GRID,YES_OUTSIDER,80,4,0.275,1.4419,0.018024
ETH,18-24,1,FUNNEL,NO_FAVORITE,9,4,0.4444,-1.1946,-0.13273
ETH,18-24,1,FUNNEL,NO_OUTSIDER,47,5,0.4468,-1.4423,-0.030686
ETH,18-24,1,FUNNEL,YES_FAVORITE,6,1,0.3333,-2.1874,-0.364561
