market_id,asset,decision_at,entry_policy,time_left_target,time_left_actual,entry_variant,side,mid_price,best_bid,best_ask,spread,price_bin,region,final_outcome,target,stake_usdc,shares,gross_pnl,fee_status,fee,net_pnl,scenario_fee,scenario_net_pnl,selection_status,skip_reason,recorded_at,calendar_date,hour_utc,weekday
3293512,BTC,2026-08-03T20:10:00+00:00,GRID,5,,,,,,,,,,YES,,,,,,,,,,MISSING_ENTRY_QUOTE,NO_OBSERVATION_IN_WINDOW,,,,
3293512,BTC,2026-08-03T20:00:05.315365+00:00,FUNNEL,,,,,,,,,,,YES,,,,,,,,,,MISSING_ENTRY_QUOTE,NO_REAL_QUOTE_IN_FUNNEL_ROW,,,,
3293673,DOGE,2026-08-03T20:18:00+00:00,GRID,12,,,,,,,,,,YES,,,,,,,,,,MISSING_ENTRY_QUOTE,NO_OBSERVATION_IN_WINDOW,,,,
3293673,DOGE,2026-08-03T20:22:16.374037+00:00,GRID,8,7.727,YES_FAVORITE,YES,0.86,0.84,0.88,0.040000000000000036,"[0.80,0.90)",favorite,YES,1,1.0,1.136364,0.136364,UNKNOWN,0.0,0.136364,0.02,0.116364,OK,,2026-08-03T20:22:16.374037+00:00,2026-08-03,20,0
3293673,DOGE,2026-08-03T20:25:18.250103+00:00,GRID,5,4.696,YES_FAVORITE,YES,0.8300000000000001,0.81,0.85,0.039999999999999925,"[0.80,0.90)",favorite,YES,1,1.0,1.176471,0.176471,UNKNOWN,0.0,0.176471,0.02,0.156471,OK,,2026-08-03T20:25:18.250103+00:00,2026-08-03,20,0
3293673,DOGE,2026-08-03T20:15:04.429735+00:00,FUNNEL,,,,,,,,,,,YES,,,,,,,,,,MISSING_ENTRY_QUOTE,NO_REAL_QUOTE_IN_FUNNEL_ROW,,,,
3293674,BTC,2026-08-03T20:18:00+00:00,GRID,12,,,,,,,,,,YES,,,,,,,,,,MISSING_ENTRY_QUOTE,NO_OBSERVATION_IN_WINDOW,,,,
3293674,BTC,2026-08-03T20:22:15.805484+00:00,GRID,8,7.737,YES_FAVORITE,YES,0.915,0.91,0.92,0.010000000000000009,"[0.90,0.99]",favorite,YES,1,1.0,1.086957,0.086957,UNKNOWN,0.0,0.086957,0.02,0.066957,OK,,2026-08-03T20:22:15.805484+00:00,2026-08-03,20,0
3293674,BTC,2026-08-03T20:25:17.699531+00:00,GRID,5,4.705,YES_FAVORITE,YES,0.925,0.92,0.93,0.010000000000000009,"[0.90,0.99]",favorite,YES,1,1.0,1.075269,0.075269,UNKNOWN,0.0,0.075269,0.02,0.055269,OK,,2026-08-03T20:25:17.699531+00:00,2026-08-03,20,0
3293674,BTC,2026-08-03T20:15:02.701267+00:00,FUNNEL,,,,,,,,,,,YES,,,,,,,,,,MISSING_ENTRY_QUOTE,NO_REAL_QUOTE_IN_FUNNEL_ROW,,,,
3293675,ETH,2026-08-03T20:18:00+00:00,GRID,12,,,,,,,,,,YES,,,,,,,,,,MISSING_ENTRY_QUOTE,NO_OBSERVATION_IN_WINDOW,,,,
3293675,ETH,2026-08-03T20:22:16.943659+00:00,GRID,8,7.718,YES_FAVORITE,YES,0.925,0.92,0.93,0.010000000000000009,"[0.90,0.99]",favorite,YES,1,1.0,1.075269,0.075269,UNKNOWN,0.0,0.075269,0.02,0.055269,OK,,2026-08-03T20:22:16.943659+00:00,2026-08-03,20,0
3293675,ETH,2026-08-03T20:25:18.840311+00:00,GRID,5,4.686,YES_FAVORITE,YES,0.875,0.87,0.88,0.010000000000000009,"[0.80,0.90)",favorite,YES,1,1.0,1.136364,0.136364,UNKNOWN,0.0,0.136364,0.02,0.116364,OK,,2026-08-03T20:25:18.840311+00:00,2026-08-03,20,0
3293675,ETH,2026-08-03T20:17:49.181499+00:00,FUNNEL,,12.18,YES_FAVORITE,YES,0.79,,0.79,0.010000000000000009,"[0.70,0.80)",favorite,,1,1.0,1.265823,0.265823,UNKNOWN,0.0,0.265823,0.02,0.245823,OK,,2026-08-03T20:17:49.181499+00:00,2026-08-03,20,0
3293680,XRP,2026-08-03T20:18:00+00:00,GRID,12,,,,,,,,,,NO,,,,,,,,,,MISSING_ENTRY_QUOTE,NO_OBSERVATION_IN_WINDOW,,,,
3293680,XRP,2026-08-03T20:22:17.497670+00:00,GRID,8,7.708,YES_FAVORITE,YES,0.775,0.77,0.78,0.010000000000000009,"[0.70,0.80)",favorite,NO,0,1.0,1.282051,-1.0,UNKNOWN,0.0,-1.0,0.02,-1.02,OK,,2026-08-03T20:22:17.497670+00:00,2026-08-03,20,0
3293680,XRP,2026-08-03T20:25:19.518260+00:00,GRID,5,4.675,YES_FAVORITE,YES,0.685,0.68,0.69,0.009999999999999898,"[0.60,0.70)",favorite,NO,0,1.0,1.449275,-1.0,UNKNOWN,0.0,-1.0,0.02,-1.02,OK,,2026-08-03T20:25:19.518260+00:00,2026-08-03,20,0
3293680,XRP,2026-08-03T20:15:06.178723+00:00,FUNNEL,,14.897,NO_FAVORITE,NO,,,0.51,0.010000000000000009,"[0.50,0.60)",near_parity,,1,1.0,1.960784,0.960784,UNKNOWN,0.0,0.960784,0.02,0.940784,OK,,2026-08-03T20:15:06.178723+00:00,2026-08-03,20,0
3293684,SOL,2026-08-03T20:18:00+00:00,GRID,12,,,,,,,,,,YES,,,,,,,,,,MISSING_ENTRY_QUOTE,NO_OBSERVATION_IN_WINDOW,,,,
3293684,SOL,2026-08-03T20:22:18.043077+00:00,GRID,8,7.699,YES_FAVORITE,YES,0.88,0.85,0.91,0.06000000000000005,"[0.90,0.99]",favorite,YES,1,1.0,1.098901,0.098901,UNKNOWN,0.0,0.098901,0.02,0.078901,OK,,2026-08-03T20:22:18.043077+00:00,2026-08-03,20,0
3293684,SOL,2026-08-03T20:25:20.230023+00:00,GRID,5,4.663,YES_FAVORITE,YES,0.705,0.7,0.71,0.010000000000000009,"[0.70,0.80)",favorite,YES,1,1.0,1.408451,0.408451,UNKNOWN,0.0,0.408451,0.02,0.388451,OK,,2026-08-03T20:25:20.230023+00:00,2026-08-03,20,0
3293684,SOL,2026-08-03T20:15:08.078248+00:00,FUNNEL,,14.865,YES_FAVORITE,YES,0.51,,0.51,0.010000000000000009,"[0.50,0.60)",near_parity,,1,1.0,1.960784,0.960784,UNKNOWN,0.0,0.960784,0.02,0.940784,OK,,2026-08-03T20:15:08.078248+00:00,2026-08-03,20,0
3294911,ETH,2026-08-03T20:33:00+00:00,GRID,12,,,,,,,,,,YES,,,,,,,,,,MISSING_ENTRY_QUOTE,NO_OBSERVATION_IN_WINDOW,,,,
3294911,ETH,2026-08-03T20:37:00+00:00,GRID,8,,,,,,,,,,YES,,,,,,,,,,MISSING_ENTRY_QUOTE,NO_OBSERVATION_IN_WINDOW,,,,
3294911,ETH,2026-08-03T20:40:00+00:00,GRID,5,,,,,,,,,,YES,,,,,,,,,,MISSING_ENTRY_QUOTE,NO_OBSERVATION_IN_WINDOW,,,,
3294911,ETH,2026-08-03T20:30:01.229302+00:00,FUNNEL,,14.98,YES_FAVORITE,YES,0.51,,0.51,0.010000000000000009,"[0.50,0.60)",near_parity,,1,1.0,1.960784,0.960784,UNKNOWN,0.0,0.960784,0.02,0.940784,OK,,2026-08-03T20:30:01.229302+00:00,2026-08-03,20,0
3294912,XRP,2026-08-03T20:33:00+00:00,GRID,12,,,,,,,,,,YES,,,,,,,,,,MISSING_ENTRY_QUOTE,NO_OBSERVATION_IN_WINDOW,,,,
3294912,XRP,2026-08-03T20:37:00+00:00,GRID,8,,,,,,,,,,YES,,,,,,,,,,MISSING_ENTRY_QUOTE,NO_OBSERVATION_IN_WINDOW,,,,
3294912,XRP,2026-08-03T20:40:00+00:00,GRID,5,,,,,,,,,,YES,,,,,,,,,,MISSING_ENTRY_QUOTE,NO_OBSERVATION_IN_WINDOW,,,,
3294912,XRP,2026-08-03T20:30:03.304379+00:00,FUNNEL,,14.945,NO_OUTSIDER,NO,,,0.5,0.010000000000000009,"[0.50,0.60)",near_parity,,0,1.0,2.0,-1.0,UNKNOWN,0.0,-1.0,0.02,-1.02,OK,,2026-08-03T20:30:03.304379+00:00,2026-08-03,20,0
3294914,BTC,2026-08-03T20:33:00+00:00,GRID,12,,,,,,,,,,NO,,,,,,,,,,MISSING_ENTRY_QUOTE,NO_OBSERVATION_IN_WINDOW,,,,
3294914,BTC,2026-08-03T20:37:00+00:00,GRID,8,,,,,,,,,,NO,,,,,,,,,,MISSING_ENTRY_QUOTE,NO_OBSERVATION_IN_WINDOW,,,,
3294914,BTC,2026-08-03T20:40:00+00:00,GRID,5,,,,,,,,,,NO,,,,,,,,,,MISSING_ENTRY_QUOTE,NO_OBSERVATION_IN_WINDOW,,,,
3294914,BTC,2026-08-03T20:30:04.540811+00:00,FUNNEL,,,,,,,,,,,NO,,,,,,,,,,MISSING_ENTRY_QUOTE,NO_REAL_QUOTE_IN_FUNNEL_ROW,,,,
3294915,DOGE,2026-08-03T20:33:00+00:00,GRID,12,,,,,,,,,,YES,,,,,,,,,,MISSING_ENTRY_QUOTE,NO_OBSERVATION_IN_WINDOW,,,,
3294915,DOGE,2026-08-03T20:37:00+00:00,GRID,8,,,,,,,,,,YES,,,,,,,,,,MISSING_ENTRY_QUOTE,NO_OBSERVATION_IN_WINDOW,,,,
3294915,DOGE,2026-08-03T20:40:00+00:00,GRID,5,,,,,,,,,,YES,,,,,,,,,,MISSING_ENTRY_QUOTE,NO_OBSERVATION_IN_WINDOW,,,,
3294915,DOGE,2026-08-03T20:30:01.946695+00:00,FUNNEL,,,,,,,,,,,YES,,,,,,,,,,MISSING_ENTRY_QUOTE,NO_REAL_QUOTE_IN_FUNNEL_ROW,,,,
3294921,SOL,2026-08-03T20:33:00+00:00,GRID,12,,,,,,,,,,NO,,,,,,,,,,MISSING_ENTRY_QUOTE,NO_OBSERVATION_IN_WINDOW,,,,
3294921,SOL,2026-08-03T20:37:00+00:00,GRID,8,,,,,,,,,,NO,,,,,,,,,,MISSING_ENTRY_QUOTE,NO_OBSERVATION_IN_WINDOW,,,,
3294921,SOL,2026-08-03T20:40:00+00:00,GRID,5,,,,,,,,,,NO,,,,,,,,,,MISSING_ENTRY_QUOTE,NO_OBSERVATION_IN_WINDOW,,,,
3294921,SOL,2026-08-03T20:33:07.881578+00:00,FUNNEL,,11.869,YES_OUTSIDER,YES,0.32,,0.32,0.010000000000000009,"[0.30,0.35)",cheap_outsider,,0,1.0,3.125,-1.0,UNKNOWN,0.0,-1.0,0.02,-1.02,OK,,2026-08-03T20:33:07.881578+00:00,2026-08-03,20,0
3295031,XRP,2026-08-03T20:48:00+00:00,GRID,12,,,,,,,,,,YES,,,,,,,,,,MISSING_ENTRY_QUOTE,NO_OBSERVATION_IN_WINDOW,,,,
3295031,XRP,2026-08-03T20:52:16.078614+00:00,GRID,8,7.732,YES_OUTSIDER,YES,0.455,0.45,0.46,0.010000000000000009,"[0.40,0.50)",near_parity,YES,1,1.0,2.173913,1.173913,UNKNOWN,0.0,1.173913,0.02,1.153913,OK,,2026-08-03T20:52:16.078614+00:00,2026-08-03,20,0
