n,days,win_rate,gross_pnl,net_pnl,scenario_net_pnl,expectancy,avg_win,avg_loss,payoff,max_drawdown,median,top5_share,asset,entry_policy,entry_time,variant,price_bin,status,exp_ci95
92,22,0.1413,17.7869,17.7869,15.9469,0.193336,7.4451,-1.0,7.4451,16.0,-1.0,2.3851,BTC,GRID,5,YES_OUTSIDER,"[0.10,0.15)",OK,"[-0.385944, 0.863277]"
75,22,0.1733,0.4446,0.4446,-1.0554,0.005928,4.8034,-1.0,4.8034,25.4444,-1.0,58.3227,BTC,GRID,5,YES_OUTSIDER,"[0.15,0.20)",OK,"[-0.568081, 0.613029]"
54,22,0.2963,17.2949,17.2949,16.2149,0.320277,3.4559,-1.0,3.4559,13.0,-1.0,1.0888,BTC,GRID,5,YES_OUTSIDER,"[0.20,0.25)",OK,"[-0.352101, 1.089666]"
55,17,0.2,-14.5756,-14.5756,-15.6756,-0.26501,2.6749,-1.0,2.6749,19.9931,-1.0,-0.9771,BTC,GRID,5,YES_OUTSIDER,"[0.25,0.30)",OK,"[-0.591625, 0.056113]"
51,18,0.2745,-7.6266,-7.6266,-8.6466,-0.149541,2.0981,-1.0,2.0981,13.7449,-1.0,-1.5015,BTC,GRID,5,YES_OUTSIDER,"[0.30,0.35)",OK,"[-0.589675, 0.315799]"
48,21,0.4583,11.1943,11.1943,10.2343,0.233214,1.6906,-1.0,1.6906,5.0,-1.0,0.8224,BTC,GRID,5,YES_OUTSIDER,"[0.35,0.40)",OK,"[-0.066051, 0.617025]"
79,22,0.4684,4.985,4.985,3.405,0.063101,1.2699,-1.0,1.2699,12.0934,-1.0,1.5045,BTC,GRID,5,YES_OUTSIDER,"[0.40,0.50)",OK,"[-0.190189, 0.282798]"
15,10,0.4,-3.1524,-3.1524,-3.4524,-0.210162,0.9746,-1.0,0.9746,6.0392,-1.0,-1.5736,BTC,GRID,5,YES_OUTSIDER,"[0.50,0.60)",OK,"[-0.54717, 0.126685]"
1,1,0.0,-1.0,-1.0,-1.02,-1.0,0.0,-1.0,0.0,1.0,-1.0,1.0,BTC,GRID,5,YES_OUTSIDER,"[0.90,0.99]",INSUFFICIENT_SAMPLE,
4,4,1.0,0.0181,0.0181,-0.0619,0.004529,0.0045,0.0,,0.0,0.004,1.0,BTC,GRID,8,YES_FAVORITE,,INSUFFICIENT_SAMPLE,
132,26,0.6288,20.5659,20.5659,17.9259,0.155802,0.8381,-1.0,0.8381,5.4083,0.7241,0.2336,BTC,GRID,8,YES_FAVORITE,"[0.50,0.60)",OK,"[0.005075, 0.32071]"
133,22,0.6391,-1.4531,-1.4531,-4.1131,-0.010925,0.5476,-1.0,0.5476,8.5626,0.4706,-2.294,BTC,GRID,8,YES_FAVORITE,"[0.60,0.70)",OK,"[-0.140279, 0.118704]"
140,22,0.7286,-2.6263,-2.6263,-5.4263,-0.018759,0.3468,-1.0,0.3468,15.6454,0.3158,-0.8159,BTC,GRID,8,YES_FAVORITE,"[0.70,0.80)",OK,"[-0.134831, 0.093832]"
199,24,0.8543,2.1368,2.1368,-1.8432,0.010738,0.1832,-1.0,0.1832,5.4501,0.1628,0.585,BTC,GRID,8,YES_FAVORITE,"[0.80,0.90)",OK,"[-0.047456, 0.066229]"
142,23,0.9366,-0.383,-0.383,-3.223,-0.002697,0.0648,-1.0,0.0648,3.6625,0.0638,-1.4506,BTC,GRID,8,YES_FAVORITE,"[0.90,0.99]",OK,"[-0.051003, 0.033916]"
1,1,0.0,-1.0,-1.0,-1.02,-1.0,0.0,-1.0,0.0,1.0,-1.0,1.0,BTC,GRID,8,YES_OUTSIDER,,INSUFFICIENT_SAMPLE,
24,16,0.0,-24.0,-24.0,-24.48,-1.0,0.0,-1.0,0.0,24.0,-1.0,0.2083,BTC,GRID,8,YES_OUTSIDER,"[0.01,0.05)",OK,"[-1.0, -1.0]"
76,24,0.0395,-29.2143,-29.2143,-30.7343,-0.384399,14.5952,-1.0,14.5952,29.2143,-1.0,-1.4303,BTC,GRID,8,YES_OUTSIDER,"[0.05,0.10)",OK,"[-1.0, 0.42381]"
76,22,0.0658,-35.0476,-35.0476,-36.5676,-0.461153,7.1905,-1.0,7.1905,35.0476,-1.0,-1.0258,BTC,GRID,8,YES_OUTSIDER,"[0.10,0.15)",OK,"[-0.823633, -0.058566]"
89,23,0.1573,-6.8135,-6.8135,-8.5935,-0.076556,4.8705,-1.0,4.8705,19.1944,-1.0,-3.975,BTC,GRID,8,YES_OUTSIDER,"[0.15,0.20)",OK,"[-0.481529, 0.351257]"
85,22,0.1765,-17.9847,-17.9847,-19.6847,-0.211584,3.4677,-1.0,3.4677,25.7258,-1.0,-1.0591,BTC,GRID,8,YES_OUTSIDER,"[0.20,0.25)",OK,"[-0.535771, 0.091874]"
76,22,0.2105,-16.9662,-16.9662,-18.4862,-0.223239,2.6896,-1.0,2.6896,25.1379,-1.0,-0.866,BTC,GRID,8,YES_OUTSIDER,"[0.25,0.30)",OK,"[-0.550945, 0.149919]"
68,23,0.3971,15.5489,15.5489,14.1889,0.22866,2.0944,-1.0,2.0944,5.0588,-1.0,0.7434,BTC,GRID,8,YES_OUTSIDER,"[0.30,0.35)",OK,"[-0.030719, 0.493864]"
73,20,0.3014,-13.0221,-13.0221,-14.4821,-0.178385,1.7263,-1.0,1.7263,23.4834,-1.0,-0.7131,BTC,GRID,8,YES_OUTSIDER,"[0.35,0.40)",OK,"[-0.393678, 0.035682]"
140,25,0.4786,12.3413,12.3413,9.5413,0.088152,1.2738,-1.0,1.2738,10.9483,-1.0,0.6077,BTC,GRID,8,YES_OUTSIDER,"[0.40,0.50)",OK,"[-0.090988, 0.278882]"
18,13,0.2222,-10.0392,-10.0392,-10.3992,-0.557734,0.9902,-1.0,0.9902,11.0392,-1.0,-0.2949,BTC,GRID,8,YES_OUTSIDER,"[0.50,0.60)",OK,"[-0.894737, -0.142857]"
