k,v,registry_id,model_type,target_class,target_proof,mapped,missing_artifact,era,n,mn,mx
DOGEUSDT_mid_vol,15,548.0,lgbm,LEGACY_BINANCE_DIRECTION,era_code_482a6914_ret1_shift_minus1_plus_guard_hint_0968d065,True,False,transition,12724,2026-08-06 10:49:30.674114+00,2026-08-09 15:21:11.629077+00
DOGEUSDT_mid_vol,18,721.0,lgbm,CANONICAL_POLYMARKET_DIRECTION,manifest_target_source,True,False,post_guard,2465,2026-08-12 03:30:11.211006+00,2026-08-19 03:58:47.601526+00
DOGEUSDT_mid_vol,25,817.0,lgbm,CANONICAL_POLYMARKET_DIRECTION,manifest_target_source,True,False,post_guard,13299,2026-08-19 06:15:07.858522+00,2026-09-13 02:43:50.627125+00
ETHUSDT_high_vol,21,481.0,lgbm,LEGACY_BINANCE_DIRECTION,era_code_482a6914_ret1_shift_minus1_plus_guard_hint_0968d065,True,False,pre_guard,2952,2026-08-03 08:52:50.980715+00,2026-08-06 06:49:25.238162+00
ETHUSDT_high_vol,25,561.0,lgbm,LEGACY_BINANCE_DIRECTION,era_code_482a6914_ret1_shift_minus1_plus_guard_hint_0968d065,True,False,transition,2502,2026-08-06 09:19:31.466757+00,2026-08-09 15:00:26.249302+00
ETHUSDT_high_vol,26,707.0,lgbm,CANONICAL_POLYMARKET_DIRECTION,manifest_target_source,True,False,post_guard,1697,2026-08-12 02:15:10.990476+00,2026-08-19 02:11:33.734098+00
ETHUSDT_high_vol,28,713.0,lgbm,CANONICAL_POLYMARKET_DIRECTION,manifest_target_source,True,False,post_guard,51,2026-08-20 09:15:00.981076+00,2026-08-21 23:37:01.280612+00
ETHUSDT_high_vol,32,809.0,lgbm,CANONICAL_POLYMARKET_DIRECTION,manifest_target_source,True,False,post_guard,259,2026-08-19 08:00:03.928248+00,2026-08-19 15:42:48.132254+00
ETHUSDT_high_vol,33,1024.0,lgbm,CANONICAL_POLYMARKET_DIRECTION,manifest_target_source,True,False,post_guard,3103,2026-08-25 01:45:02.102944+00,2026-09-12 15:21:10.966433+00
ETHUSDT_low_vol,23,508.0,lgbm,LEGACY_BINANCE_DIRECTION,era_code_482a6914_ret1_shift_minus1_plus_guard_hint_0968d065,True,False,pre_guard,4994,2026-08-03 12:35:50.319066+00,2026-08-05 11:12:18.66397+00
ETHUSDT_low_vol,24,523.0,lgbm,LEGACY_BINANCE_DIRECTION,era_code_482a6914_ret1_shift_minus1_plus_guard_hint_0968d065,True,False,pre_guard,249,2026-08-09 11:37:56.154648+00,2026-08-09 13:42:39.973737+00
ETHUSDT_low_vol,25,550.0,lgbm,LEGACY_BINANCE_DIRECTION,era_code_482a6914_ret1_shift_minus1_plus_guard_hint_0968d065,True,False,pre_guard,3181,2026-08-05 16:05:08.133083+00,2026-08-06 04:32:38.738061+00
ETHUSDT_low_vol,26,,,,,False,True,pre_guard,4687,2026-08-06 07:04:33.299104+00,2026-08-08 16:41:51.31638+00
ETHUSDT_low_vol,27,705.0,lgbm,CANONICAL_POLYMARKET_DIRECTION,manifest_target_source,True,False,post_guard,4633,2026-08-12 00:30:18.589459+00,2026-08-15 07:44:00.533977+00
ETHUSDT_mid_vol,18,524.0,lgbm,LEGACY_BINANCE_DIRECTION,era_code_482a6914_ret1_shift_minus1_plus_guard_hint_0968d065,True,False,pre_guard,6498,2026-08-03 21:32:54.861559+00,2026-08-06 07:04:07.779507+00
