decision_at,day,net,cumnet
2026-08-11 03:20:00+00:00,2026-08-11,-1.0,57.9107756981498
2026-08-11 03:20:00+00:00,2026-08-11,-1.0,56.9107756981498
2026-08-11 03:55:00+00:00,2026-08-11,3.1059836499731057,60.0167593481229
2026-08-11 03:55:00+00:00,2026-08-11,-1.0,59.0167593481229
2026-08-11 04:05:00+00:00,2026-08-11,-1.0,58.0167593481229
2026-08-11 04:50:00+00:00,2026-08-11,1.6460066467686967,59.6627659948916
2026-08-11 05:20:00+00:00,2026-08-11,-1.0,58.6627659948916
2026-08-11 06:58:00+00:00,2026-08-11,7.517669906220455,66.18043590111205
2026-08-11 08:10:00+00:00,2026-08-11,-1.0,65.18043590111205
2026-08-11 16:28:00+00:00,2026-08-11,-1.0,64.18043590111205
2026-08-11 17:43:00+00:00,2026-08-11,-1.0,63.18043590111205
2026-08-11 17:58:00+00:00,2026-08-11,-1.0,62.18043590111205
2026-08-11 18:10:00+00:00,2026-08-11,-1.0,61.18043590111205
2026-08-11 18:58:00+00:00,2026-08-11,-1.0,60.18043590111205
2026-08-11 19:10:00+00:00,2026-08-11,-1.0,59.18043590111205
2026-08-11 20:43:00+00:00,2026-08-11,-1.0,58.18043590111205
2026-08-11 23:55:00+00:00,2026-08-11,-1.0,57.18043590111205
2026-08-11 23:55:00+00:00,2026-08-11,-1.0,56.18043590111205
2026-08-12 00:55:00+00:00,2026-08-12,-1.0,55.18043590111205
2026-08-12 01:10:00+00:00,2026-08-12,-1.0,54.18043590111205
2026-08-12 01:10:00+00:00,2026-08-12,-1.0,53.18043590111205
2026-08-12 02:28:00+00:00,2026-08-12,2.937503937503938,56.11793983861599
2026-08-12 03:10:00+00:00,2026-08-12,-1.0,55.11793983861599
2026-08-12 03:10:00+00:00,2026-08-12,8.363295880149815,63.4812357187658
2026-08-12 03:10:00+00:00,2026-08-12,6.216725482979352,69.69796120174516
2026-08-12 03:58:00+00:00,2026-08-12,-1.0,68.69796120174516
2026-08-12 04:10:00+00:00,2026-08-12,-1.0,67.69796120174516
2026-08-12 04:55:00+00:00,2026-08-12,-1.0,66.69796120174516
2026-08-12 05:10:00+00:00,2026-08-12,2.782505910165485,69.48046711191064
2026-08-12 07:35:00+00:00,2026-08-12,2.782505910165485,72.26297302207612
2026-08-12 10:05:00+00:00,2026-08-12,-1.0,71.26297302207612
