model_registry_id,model_version,oof_artifact_id,artifact_status,invalid_reason,artifact_schema_version,stored_row_count,decoded_row_count,quote_row_count,artifact_sha256,replay_allowed,retrain_required,close_time_status,close_time_join_key,close_time_missing_count,close_time_ambiguous_count
820,48,80,VALID_FOR_REPLAY,,2,79937,79937,4814,96bf71b2c502b08e928cf7832bfdf525632442c0539a69856b416bb37ef3cb6f,True,False,RECOVERED,market_id,0,0
821,49,81,VALID_FOR_REPLAY,,2,79937,79937,4814,5970844d5957b8396a96994927d86fd610a7d502c580e229755c5a6fd705f058,True,False,RECOVERED,market_id,0,0
822,50,82,VALID_FOR_REPLAY,,2,79937,79937,4814,4860490309ed3eb736da30ecafdd4c90ee79eb62303e6e9769e6db317386d7bf,True,False,RECOVERED,market_id,0,0
823,14,83,VALID_FOR_REPLAY,,2,39724,39724,4719,0009da428defd1206a45258f279e615e74da6b5b05d46bd0fed6aae6731551f7,True,False,RECOVERED,market_id,0,0
824,15,84,VALID_FOR_REPLAY,,2,39724,39724,4719,ac6d22a682ff12d7e84b97575fa7ed2cde21624442e9bcb78cba591729171099,True,False,RECOVERED,market_id,0,0
825,16,85,VALID_FOR_REPLAY,,2,39724,39724,4719,7fbac135c5fa06b7fdc517330a1c1eac578009c49e03caddde99e95c576cbead,True,False,RECOVERED,market_id,0,0
826,10,86,VALID_FOR_REPLAY,,2,22536,22536,4599,507995aeb074ec0cc2824449484a213a50af6f9618bc95297a68d539f5c6e48b,True,False,RECOVERED,market_id,0,0
827,11,87,VALID_FOR_REPLAY,,2,22536,22536,4599,b4f596a654218ccb7d5da7c6cb1da73043ecd857e3921b2a24a652088c8e4075,True,False,RECOVERED,market_id,0,0
828,12,88,VALID_FOR_REPLAY,,2,22536,22536,4599,b97901690377ff99ef0c04adc66aef47ccc8d74c3d25448327b539022c769a57,True,False,RECOVERED,market_id,0,0
829,9,89,VALID_FOR_REPLAY,,2,17941,17941,4092,9de3933a86f5450382e350c59ad18ec5258edc6a8caacf621ddeb16cdc8c258d,True,False,RECOVERED,market_id,0,0
830,10,90,VALID_FOR_REPLAY,,2,17941,17941,4092,d0d45a73fc5bc8e7a84457b8cc3954883a4ae04f937afd0bf2d055c9bab0e0dc,True,False,RECOVERED,market_id,0,0
