asset,status,pnl,strategy_type,amount_usdc,executed_price,outcome_bought
ETH,SUCCESS,0.3157894736842106,"time_left_min,mid_price,spread,price_velocity,hour_of_day",1,0.76,NO
BTC,SUCCESS,0.5151515151515151,"time_left_min,mid_price,spread,price_velocity,hour_of_day",1,0.66,NO
ETH,SUCCESS,-1,"time_left_min,mid_price,spread,price_velocity,hour_of_day",1,0.84,YES
ETH,SUCCESS,-1,"time_left_min,mid_price,spread,price_velocity,hour_of_day",1,0.58,YES
BTC,SUCCESS,-1,"time_left_min,mid_price,spread,price_velocity,hour_of_day",1,0.78,YES
BTC,SUCCESS,0.3513513513513513,"time_left_min,mid_price,spread,price_velocity,hour_of_day",1,0.74,NO
ETH,SUCCESS,0.25,"time_left_min,mid_price,spread,price_velocity,hour_of_day",1,0.8,NO
BTC,SUCCESS,0.36986301369863006,"time_left_min,mid_price,spread,price_velocity,hour_of_day",1,0.73,NO
XRP,SUCCESS,0.20481927710843384,"time_left_min,mid_price,spread,price_velocity,hour_of_day",1,0.83,NO
ETH,SUCCESS,0.5384615384615383,"time_left_min,mid_price,spread,price_velocity,hour_of_day",1,0.65,NO
SOL,SUCCESS,0.47058823529411753,"time_left_min,mid_price,spread,price_velocity,hour_of_day",1,0.68,NO
ETH,SUCCESS,-1,"time_left_min,mid_price,spread,price_velocity,hour_of_day",1,0.71,NO
DOGE,SUCCESS,-1,"time_left_min,mid_price,spread,price_velocity,hour_of_day",1,0.59,NO
SOL,SUCCESS,0.5151515151515151,PURE_FAVORITE,1,0.66,YES
SOL,SUCCESS,0.40845070422535223,PURE_FAVORITE,1,0.71,NO
DOGE,SUCCESS,0.19047619047619047,PURE_FAVORITE,1,0.84,NO
XRP,SUCCESS,0.19047619047619047,PURE_FAVORITE,1,0.84,YES
DOGE,SUCCESS,-1,PURE_FAVORITE,1,0.56,NO
DOGE,SUCCESS,0.4285714285714286,"time_left_min,mid_price,spread,price_velocity,hour_of_day,price_deviation,deviation_x_time,price_deviation_sq,spread_pct,log_time_left",1,0.7,YES
ETH,SUCCESS,0.23456790123456783,"time_left_min,mid_price,spread,price_velocity,hour_of_day",1,0.81,NO
BTC,SUCCESS,0.2987012987012987,"time_left_min,mid_price,spread,price_velocity,hour_of_day",1,0.77,NO
ETH,SUCCESS,0.5625,"time_left_min,mid_price,spread,price_velocity,hour_of_day",1,0.64,NO
BTC,SUCCESS,0.4285714285714286,"time_left_min,mid_price,spread,price_velocity,hour_of_day",1,0.7,NO
XRP,SUCCESS,0.06382978723404253,"time_left_min,mid_price,spread,price_velocity,hour_of_day",1,0.94,YES
ETH,SUCCESS,0.2987012987012987,"time_left_min,mid_price,spread,price_velocity,hour_of_day",1,0.77,NO
BTC,SUCCESS,-1,"time_left_min,mid_price,spread,price_velocity,hour_of_day",1,0.33,NO
ETH,SUCCESS,-1,"time_left_min,mid_price,spread,price_velocity,hour_of_day",1,0.4,NO
SOL,SUCCESS,-1,"time_left_min,mid_price,spread,price_velocity,hour_of_day",1,0.57,NO
XRP,SUCCESS,0.07411385606874332,"time_left_min,mid_price,spread,price_velocity,hour_of_day",1,0.931,NO
ETH,SUCCESS,0.07526881720430101,"time_left_min,mid_price,spread,price_velocity,hour_of_day",1,0.93,NO
BTC,SUCCESS,0.12359550561797761,"time_left_min,mid_price,spread,price_velocity,hour_of_day",1,0.89,NO
SOL,SUCCESS,0.2987012987012987,"time_left_min,mid_price,spread,price_velocity,hour_of_day",1,0.77,NO
XRP,SUCCESS,0.05263157894736836,"time_left_min,mid_price,spread,price_velocity,hour_of_day",1,0.95,NO
ETH,SUCCESS,0.05263157894736836,"time_left_min,mid_price,spread,price_velocity,hour_of_day",1,0.95,YES
DOGE,SUCCESS,-1,"time_left_min,mid_price,spread,price_velocity,hour_of_day",1,0.09,NO
SOL,SUCCESS,0.06382978723404253,"time_left_min,mid_price,spread,price_velocity,hour_of_day",1,0.94,YES
BTC,SUCCESS,1.127659574468085,"time_left_min,mid_price,spread,price_velocity,hour_of_day",1,0.47,YES
BTC,SUCCESS,0.14942528735632177,"time_left_min,mid_price,spread,price_velocity,hour_of_day",1,0.87,YES
SOL,SUCCESS,-1,"time_left_min,mid_price,spread,price_velocity,hour_of_day",1,0.5,YES
DOGE,SUCCESS,-1,"time_left_min,mid_price,spread,price_velocity,hour_of_day",1,0.03,YES
ETH,SUCCESS,0.05263157894736836,"time_left_min,mid_price,spread,price_velocity,hour_of_day",1,0.95,NO
BTC,SUCCESS,0.08695652173913038,"time_left_min,mid_price,spread,price_velocity,hour_of_day",1,0.92,NO
BTC,SUCCESS,0.05263157894736836,"time_left_min,mid_price,spread,price_velocity,hour_of_day",1,0.95,YES
XRP,SUCCESS,0.7241379310344829,"time_left_min,mid_price,spread,price_velocity,hour_of_day",1,0.58,YES
XRP,SUCCESS,0.28205128205128194,"time_left_min,mid_price,spread,price_velocity,hour_of_day",1,0.78,YES
ETH,SUCCESS,-1,"time_left_min,mid_price,spread,price_velocity,hour_of_day",1,0.54,YES
DOGE,SUCCESS,-1,"time_left_min,mid_price,spread,price_velocity,hour_of_day",1,0.04,NO
BTC,SUCCESS,0.4492753623188408,"time_left_min,mid_price,spread,price_velocity,hour_of_day",1,0.69,YES
SOL,SUCCESS,0.2987012987012987,"time_left_min,mid_price,spread,price_velocity,hour_of_day",1,0.77,YES
BTC,SUCCESS,-1,"time_left_min,mid_price,spread,price_velocity,hour_of_day",1,0.69,YES
ETH,SUCCESS,-1,"time_left_min,mid_price,spread,price_velocity,hour_of_day",1,0.72,YES
ETH,SUCCESS,0.5873015873015872,"time_left_min,mid_price,spread,price_velocity,hour_of_day",1,0.63,YES
BTC,SUCCESS,0.26582278481012644,"time_left_min,mid_price,spread,price_velocity,hour_of_day",1,0.79,NO
BTC,SUCCESS,0.33333333333333326,"time_left_min,mid_price,spread,price_velocity,hour_of_day",1,0.75,NO
ETH,SUCCESS,0.28205128205128194,"time_left_min,mid_price,spread,price_velocity,hour_of_day",1,0.78,NO
BTC,SUCCESS,0.20481927710843384,"time_left_min,mid_price,spread,price_velocity,hour_of_day",1,0.83,NO
BTC,SUCCESS,-1,"time_left_min,mid_price,spread,price_velocity,hour_of_day",1,0.25,NO
ETH,SUCCESS,1.1739130434782608,"time_left_min,mid_price,spread,price_velocity,hour_of_day",1,0.46,YES
ETH,SUCCESS,0.8181818181818181,"time_left_min,mid_price,spread,price_velocity,hour_of_day",1,0.55,YES
BTC,SUCCESS,0.47058823529411753,"time_left_min,mid_price,spread,price_velocity,hour_of_day",1,0.68,YES
ETH,SUCCESS,0.33333333333333326,"time_left_min,mid_price,spread,price_velocity,hour_of_day",1,0.75,NO
BTC,SUCCESS,0.9230769230769229,"time_left_min,mid_price,spread,price_velocity,hour_of_day",1,0.52,YES
XRP,SUCCESS,0.7543859649122808,PURE_FAVORITE,1,0.57,YES
DOGE,SUCCESS,0.9230769230769229,PURE_FAVORITE,1,0.52,YES
BTC,SUCCESS,0.17647058823529416,PURE_FAVORITE,1,0.85,NO
SOL,SUCCESS,0.05263157894736836,"time_left_min,mid_price,spread,price_velocity,hour_of_day",1,0.95,YES
XRP,SUCCESS,0.16279069767441867,"time_left_min,mid_price,spread,price_velocity,hour_of_day",1,0.86,YES
XRP,SUCCESS,-0.5,"time_left_min,mid_price,spread,price_velocity,hour_of_day",0.5,0.83,NO
SOL,SUCCESS,0.19444444444444442,"time_left_min,mid_price,spread,price_velocity,hour_of_day",0.5,0.72,NO
ETH,SUCCESS,0.09523809523809523,"time_left_min,mid_price,spread,price_velocity,hour_of_day",0.5,0.84,NO
BTC,SUCCESS,0.08823529411764708,"time_left_min,mid_price,spread,price_velocity,hour_of_day",0.5,0.85,NO
BTC,SUCCESS,-2,"time_left_min,mid_price,spread,price_velocity,hour_of_day",2,0.51,NO
ETH,SUCCESS,-0.5,"time_left_min,mid_price,spread,price_velocity,hour_of_day",0.5,0.68,NO
SOL,SUCCESS,0.11728395061728392,"time_left_min,mid_price,spread,price_velocity,hour_of_day",0.5,0.81,NO
BTC,SUCCESS,0.4925373134328357,"time_left_min,mid_price,spread,price_velocity,hour_of_day",1,0.67,NO
DOGE,SUCCESS,0.5873015873015872,"time_left_min,mid_price,spread,price_velocity,hour_of_day",1,0.63,YES
ETH,SUCCESS,-1,"time_left_min,mid_price,spread,price_velocity,hour_of_day",1,0.62,NO
BTC,SUCCESS,-1,"time_left_min,mid_price,spread,price_velocity,hour_of_day",1,0.46,NO
DOGE,SUCCESS,0.639344262295082,PURE_FAVORITE,1,0.61,NO
XRP,SUCCESS,-1,"time_left_min,mid_price,spread,price_velocity,hour_of_day,price_deviation,deviation_x_time,price_deviation_sq,spread_pct,log_time_left",1,0.58,NO
SOL,SUCCESS,1.7399999999999995,"time_left_min,mid_price,spread,price_velocity,hour_of_day,price_deviation,deviation_x_time,price_deviation_sq,spread_pct,log_time_left,outsider",1.16,0.4,YES
ETH,SUCCESS,-1,PURE_FAVORITE,1,0.8,NO
SOL,SUCCESS,0.2195121951219512,PURE_FAVORITE,1,0.82,YES
DOGE,SUCCESS,-1,"time_left_min,mid_price,spread,price_velocity,hour_of_day",1,0.75,YES
BTC,SUCCESS,-1,"time_left_min,mid_price,spread,price_velocity,hour_of_day",1,0.53,NO
SOL,SUCCESS,-1,"time_left_min,mid_price,spread,price_velocity,hour_of_day,price_deviation,deviation_x_time,price_deviation_sq,spread_pct,log_time_left",1,0.77,YES
SOL,SUCCESS,0.24146341463414633,"time_left_min,mid_price,spread,price_velocity,hour_of_day,price_deviation,deviation_x_time,price_deviation_sq,spread_pct,log_time_left,ml_trend",1.1,0.82,NO
ETH,SUCCESS,-1,PURE_FAVORITE,1,0.68,NO
XRP,SUCCESS,-1,"time_left_min,mid_price,spread,price_velocity,hour_of_day,price_deviation,deviation_x_time,price_deviation_sq,spread_pct,log_time_left",1,0.51,NO
BTC,SUCCESS,0.2195121951219512,"time_left_min,mid_price,spread,price_velocity,hour_of_day,price_deviation,deviation_x_time,price_deviation_sq,spread_pct,log_time_left",1,0.82,YES
ETH,SUCCESS,-1,PURE_FAVORITE,1,0.5,YES
SOL,SUCCESS,0.4492753623188408,PURE_FAVORITE,1,0.69,NO
XRP,SUCCESS,0.5873015873015872,PURE_FAVORITE,1,0.63,YES
DOGE,SUCCESS,0.47058823529411753,PURE_FAVORITE,1,0.68,YES
SOL,SUCCESS,0.17647058823529416,PURE_FAVORITE,1,0.85,NO
XRP,SUCCESS,0.8181818181818181,PURE_FAVORITE,1,0.55,YES
BTC,SUCCESS,0.38888888888888884,PURE_FAVORITE,1,0.72,NO
SOL,SUCCESS,0.23456790123456783,PURE_FAVORITE,1,0.81,NO
DOGE,SUCCESS,0.4925373134328357,PURE_FAVORITE,1,0.67,NO
ETH,SUCCESS,0.19047619047619047,PURE_FAVORITE,1,0.84,YES
SOL,SUCCESS,-1,PURE_FAVORITE,1,0.85,YES
BTC,SUCCESS,0.7857142857142856,"time_left_min,mid_price,spread,price_velocity,hour_of_day",1,0.56,NO
SOL,SUCCESS,0.8518518518518516,"time_left_min,mid_price,spread,price_velocity,hour_of_day",1,0.54,YES
BTC,SUCCESS,-1,"time_left_min,mid_price,spread,price_velocity,hour_of_day",1,0.54,YES
SOL,SUCCESS,-1.54,"time_left_min,mid_price,spread,price_velocity,hour_of_day,price_deviation,deviation_x_time,price_deviation_sq,spread_pct,log_time_left,pure_favorite",1.54,0.61,NO
DOGE,SUCCESS,0.17647058823529416,"time_left_min,mid_price,spread,price_velocity,hour_of_day,price_deviation,deviation_x_time,price_deviation_sq,spread_pct,log_time_left",1,0.85,YES
SOL,SUCCESS,0.8181818181818181,"time_left_min,mid_price,spread,price_velocity,hour_of_day",1,0.55,YES
BTC,SUCCESS,0.4492753623188408,"time_left_min,mid_price,spread,price_velocity,hour_of_day",1,0.69,YES
DOGE,SUCCESS,-1,"time_left_min,mid_price,spread,price_velocity,hour_of_day,price_deviation,deviation_x_time,price_deviation_sq,spread_pct,log_time_left",1,0.75,NO
XRP,SUCCESS,0.17647058823529416,PURE_FAVORITE,1,0.85,NO
BTC,SUCCESS,-1,PURE_FAVORITE,1,0.79,YES
ETH,SUCCESS,0.25,PURE_FAVORITE,1,0.8,YES
SOL,SUCCESS,-1,PURE_FAVORITE,1,0.79,YES
BTC,SUCCESS,0.20481927710843384,PURE_FAVORITE,1,0.83,NO
ETH,SUCCESS,-1,PURE_FAVORITE,1,0.67,NO
ETH,SUCCESS,0.9607843137254901,PURE_FAVORITE,1,0.51,NO
SOL,SUCCESS,-1,PURE_FAVORITE,1,0.72,YES
XRP,SUCCESS,0.25,PURE_FAVORITE,1,0.8,YES
SOL,SUCCESS,0.19047619047619047,PURE_FAVORITE,1,0.84,YES
DOGE,SUCCESS,-1,PURE_FAVORITE,1,0.55,YES
DOGE,SUCCESS,0.23456790123456783,PURE_FAVORITE,1,0.81,YES
ETH,SUCCESS,-1,PURE_FAVORITE,1,0.66,YES
BTC,SUCCESS,-1,PURE_FAVORITE,1,0.67,NO
DOGE,SUCCESS,-1,PURE_FAVORITE,1,0.57,YES
SOL,SUCCESS,0.6949152542372883,PURE_FAVORITE,1,0.59,NO
ETH,SUCCESS,0.25,PURE_FAVORITE,1,0.8,YES
BTC,SUCCESS,-1,PURE_FAVORITE,1,0.85,NO
XRP,SUCCESS,0.17785630153121312,PURE_FAVORITE,1,0.849,NO
XRP,SUCCESS,0.23456790123456783,PURE_FAVORITE,1,0.81,NO
BTC,SUCCESS,0.2195121951219512,PURE_FAVORITE,1,0.82,NO
DOGE,SUCCESS,-1,PURE_FAVORITE,1,0.5,NO
ETH,SUCCESS,0.8867924528301885,PURE_FAVORITE,1,0.53,YES
ETH,SUCCESS,0.3513513513513513,PURE_FAVORITE,1,0.74,YES
SOL,SUCCESS,0.5384615384615383,PURE_FAVORITE,1,0.65,NO
XRP,SUCCESS,-1.15,"time_left_min,mid_price,spread,price_velocity,hour_of_day,price_deviation,deviation_x_time,price_deviation_sq,spread_pct,log_time_left,ml_trend",1.15,0.86,YES
DOGE,SUCCESS,-1,PURE_FAVORITE,1,0.55,NO
DOGE,SUCCESS,0.26582278481012644,PURE_FAVORITE,1,0.79,YES
SOL,SUCCESS,0.3157894736842106,PURE_FAVORITE,1,0.76,YES
ETH,SUCCESS,0.17647058823529416,PURE_FAVORITE,1,0.85,YES
BTC,SUCCESS,-1,"time_left_min,mid_price,spread,price_velocity,hour_of_day",1,0.61,YES
DOGE,SUCCESS,0.26582278481012644,"time_left_min,mid_price,spread,price_velocity,hour_of_day,price_deviation,deviation_x_time,price_deviation_sq,spread_pct,log_time_left",1,0.79,NO
DOGE,SUCCESS,0.6699999999999999,"time_left_min,mid_price,spread,price_velocity,hour_of_day,price_deviation,deviation_x_time,price_deviation_sq,spread_pct,log_time_left,ml_trend",2.01,0.75,YES
BTC,SUCCESS,0.6949152542372883,"time_left_min,mid_price,spread,price_velocity,hour_of_day",1,0.59,NO
DOGE,SUCCESS,-1,PURE_FAVORITE,1,0.65,YES
SOL,SUCCESS,-1,PURE_FAVORITE,1,0.52,NO
XRP,SUCCESS,0.19047619047619047,PURE_FAVORITE,1,0.84,NO
BTC,SUCCESS,0.26582278481012644,PURE_FAVORITE,1,0.79,YES
XRP,SUCCESS,0.6129032258064517,PURE_FAVORITE,1,0.62,YES
SOL,SUCCESS,0.25,PURE_FAVORITE,1,0.8,YES
ETH,SUCCESS,-1,PURE_FAVORITE,1,0.73,NO
BTC,SUCCESS,0.9607843137254901,PURE_FAVORITE,1,0.51,YES
ETH,SUCCESS,0.25,PURE_FAVORITE,1,0.8,NO
BTC,SUCCESS,0.9607843137254901,"time_left_min,mid_price,spread,price_velocity,hour_of_day",1,0.51,YES
XRP,SUCCESS,0.19047619047619047,PURE_FAVORITE,1,0.84,NO
