asset_phase,rank,variant,C,class_weight,sample_weight_mode,calibration,auc,ece,total_pnl,n_trades,win_rate,deployable,t1_pnl,t2_pnl,t3_pnl,median_window_pnl,rejection_reasons
ETH_decided,9,BASE,1.0,,uniform,RAW,0.6175,0.0067,0.0,3074,0.7655,False,0.0,0.0,0.0,0.0,COMBINED PnL <= 0 (0.00); Median window PnL <= 0 (0.00)
ETH_decided,10,BASE,1.0,,uniform,PLATT,0.6175,0.0067,0.0,3074,0.7655,False,0.0,0.0,0.0,0.0,COMBINED PnL <= 0 (0.00); Median window PnL <= 0 (0.00)
ETH_leaning,1,BASE,0.1,,uniform,RAW,0.5111,0.0068,0.0,2166,0.5485,False,0.0,0.0,0.0,0.0,COMBINED PnL <= 0 (0.00); Median window PnL <= 0 (0.00)
ETH_leaning,2,BASE,0.1,,uniform,PLATT,0.5111,0.0068,0.0,2166,0.5485,False,0.0,0.0,0.0,0.0,COMBINED PnL <= 0 (0.00); Median window PnL <= 0 (0.00)
ETH_leaning,3,BASE,0.1,,time_decay,RAW,0.5102,0.0069,0.0,2164,0.543,False,0.0,0.0,0.0,0.0,COMBINED PnL <= 0 (0.00); Median window PnL <= 0 (0.00)
ETH_leaning,4,BASE,0.1,,time_decay,PLATT,0.5102,0.0069,0.0,2164,0.543,False,0.0,0.0,0.0,0.0,COMBINED PnL <= 0 (0.00); Median window PnL <= 0 (0.00)
ETH_leaning,5,BASE,0.1,balanced,uniform,RAW,0.5146,0.1841,0.0,3836,0.3389,False,0.0,0.0,0.0,0.0,COMBINED PnL <= 0 (0.00); Median window PnL <= 0 (0.00); Excessive ECE (0.1841 > 0.10)
ETH_leaning,6,BASE,0.1,balanced,uniform,PLATT,0.5146,0.1841,0.0,3836,0.3389,False,0.0,0.0,0.0,0.0,COMBINED PnL <= 0 (0.00); Median window PnL <= 0 (0.00); Excessive ECE (0.1841 > 0.10)
ETH_leaning,7,BASE,0.1,balanced,time_decay,RAW,0.5138,0.1923,0.0,3836,0.3389,False,0.0,0.0,0.0,0.0,COMBINED PnL <= 0 (0.00); Median window PnL <= 0 (0.00); Excessive ECE (0.1923 > 0.10)
ETH_leaning,8,BASE,0.1,balanced,time_decay,PLATT,0.5138,0.1923,0.0,3836,0.3389,False,0.0,0.0,0.0,0.0,COMBINED PnL <= 0 (0.00); Median window PnL <= 0 (0.00); Excessive ECE (0.1923 > 0.10)
ETH_leaning,9,BASE,1.0,,uniform,RAW,0.5115,0.0069,0.0,2180,0.5509,False,0.0,0.0,0.0,0.0,COMBINED PnL <= 0 (0.00); Median window PnL <= 0 (0.00)
ETH_leaning,10,BASE,1.0,,uniform,PLATT,0.5115,0.0069,0.0,2180,0.5509,False,0.0,0.0,0.0,0.0,COMBINED PnL <= 0 (0.00); Median window PnL <= 0 (0.00)
ETH_contested,1,BASE,0.1,,uniform,RAW,0.4964,0.0004,0.0,1085,0.4811,False,0.0,0.0,0.0,0.0,COMBINED PnL <= 0 (0.00); Median window PnL <= 0 (0.00)
ETH_contested,2,BASE,0.1,,uniform,PLATT,0.4964,0.0004,0.0,1085,0.4811,False,0.0,0.0,0.0,0.0,COMBINED PnL <= 0 (0.00); Median window PnL <= 0 (0.00)
ETH_contested,3,BASE,0.1,,time_decay,RAW,0.4991,0.0004,0.0,1155,0.4788,False,0.0,0.0,0.0,0.0,COMBINED PnL <= 0 (0.00); Median window PnL <= 0 (0.00)
ETH_contested,4,BASE,0.1,,time_decay,PLATT,0.4991,0.0004,0.0,1155,0.4788,False,0.0,0.0,0.0,0.0,COMBINED PnL <= 0 (0.00); Median window PnL <= 0 (0.00)
ETH_contested,5,BASE,0.1,balanced,uniform,RAW,0.4988,0.0571,0.0,2042,0.4226,False,0.0,0.0,0.0,0.0,COMBINED PnL <= 0 (0.00); Median window PnL <= 0 (0.00)
ETH_contested,6,BASE,0.1,balanced,uniform,PLATT,0.4988,0.0571,0.0,2042,0.4226,False,0.0,0.0,0.0,0.0,COMBINED PnL <= 0 (0.00); Median window PnL <= 0 (0.00)
ETH_contested,7,BASE,0.1,balanced,time_decay,RAW,0.5,0.0579,0.0,2150,0.426,False,0.0,0.0,0.0,0.0,COMBINED PnL <= 0 (0.00); Median window PnL <= 0 (0.00)
ETH_contested,8,BASE,0.1,balanced,time_decay,PLATT,0.5,0.0579,0.0,2150,0.426,False,0.0,0.0,0.0,0.0,COMBINED PnL <= 0 (0.00); Median window PnL <= 0 (0.00)
