market_id,trading_mode,final_action,p_flip,fresh_price,candidate_side,lgbm_vote,true_winner
3201812,COMBINED,SKIP,0.4518045158389759,0,,,NO
3201815,COMBINED,SKIP,0.5389420948278569,0,,,NO
3201812,COMBINED,SKIP,0.4510413222091336,0,,,NO
3201815,COMBINED,SKIP,0.5415684225550378,0,,,NO
3201812,COMBINED,SKIP,0.450773764278495,0,,,NO
3201815,COMBINED,SKIP,0.541175770402093,0,,,NO
3201812,COMBINED,SKIP,0.4642887414238835,0,,,NO
3201815,COMBINED,SKIP,0.5331037919946532,0,,,NO
3201812,COMBINED,SKIP,0.45709894091063935,0,,,NO
3201815,COMBINED,SKIP,0.5342955904048987,0,,,NO
3201821,COMBINED,SKIP,0.4916162851088127,0,,,NO
3201815,COMBINED,SKIP,0.5460469438428089,0,,,NO
3201812,COMBINED,SKIP,0.45310981880662304,0,,,NO
3201812,COMBINED,SKIP,0.45563578008131234,0,,,NO
3201815,COMBINED,SKIP,0.5370673161380327,0,,,NO
3201812,COMBINED,SKIP,0.4507314268035243,0,,,NO
3201815,COMBINED,SKIP,0.542671829928221,0,,,NO
3201821,COMBINED,SKIP,0.46921959042319095,0,,,NO
3201817,COMBINED,SKIP,0.46665359153352814,0,,,NO
3201821,COMBINED,SKIP,0.44876885503075803,0,,,NO
3201821,COMBINED,SKIP,0.33980165346991925,0,,,NO
3201815,COMBINED,SKIP,0.5393276099113237,0,,,NO
3201821,COMBINED,SKIP,0.5022136716525901,0,,,NO
3201817,COMBINED,SKIP,0.4672582832449993,0,,,NO
3201821,COMBINED,SKIP,0.45314274230272833,0,,,NO
3201817,COMBINED,SKIP,0.46650168847970425,0,,,NO
3201821,COMBINED,SKIP,0.4743188873943039,0,,,NO
3201817,COMBINED,SKIP,0.4893218638430399,0,,,NO
3201812,COMBINED,SKIP,0.4768173402020188,0,,,NO
3201817,COMBINED,SKIP,0.4661247369742994,0,,,NO
3201812,COMBINED,SKIP,0.48789601973900426,0,,,NO
3201815,COMBINED,SKIP,0.5049998592423932,0,,,NO
3201817,COMBINED,SKIP,0.46718433645329066,0,,,NO
3201817,COMBINED,SKIP,0.46688791248284556,0,,,NO
3201815,COMBINED,SKIP,0.5301058165233968,0,,,NO
3201821,COMBINED,SKIP,0.341127233536276,0,,,NO
3201817,COMBINED,SKIP,0.46558792753336853,0,,,NO
3201812,COMBINED,SKIP,0.4750258416694985,0,,,NO
3201815,COMBINED,SKIP,0.5255346801747233,0,,,NO
3201821,COMBINED,SKIP,0.4822203306292681,0,,,NO
3201817,COMBINED,SKIP,0.4857129228014008,0,,,NO
3201812,COMBINED,SKIP,0.46322972649911026,0,,,NO
3201821,COMBINED,SKIP,0.29223606519309175,0,,,NO
3201817,COMBINED,SKIP,0.43752286081538083,0,,,NO
3201821,COMBINED,SKIP,0.3042534490077916,0,,,NO
3201817,COMBINED,SKIP,0.4423527929909621,0,,,NO
3201821,COMBINED,SKIP,0.2283918060226049,0,,,NO
3201817,COMBINED,SKIP,0.4666686506496428,0,,,NO
3201812,COMBINED,SKIP,0.46442447343451027,0,,,NO
3201821,COMBINED,SKIP,0.33180246404747954,0,,,NO
3201817,COMBINED,SKIP,0.4846285976815251,0,,,NO
3201817,COMBINED,SKIP,0.476931539813918,0,,,NO
3201815,COMBINED,SKIP,0.5193452348004989,0,,,NO
3201821,COMBINED,SKIP,0.31020353212989193,0,,,NO
3201812,COMBINED,SKIP,0.4913007411640523,0,,,NO
3201817,COMBINED,SKIP,0.4690530284896597,0,,,NO
3201821,COMBINED,SKIP,0.5012914302270307,0,,,NO
3201817,COMBINED,SKIP,0.4451521676173711,0,,,NO
3201821,COMBINED,SKIP,0.25723986557390227,0,,,NO
3201817,COMBINED,SKIP,0.45487708260543075,0,,,NO
3201821,COMBINED,SKIP,0.5217562066516319,0,,,NO
3201817,COMBINED,SKIP,0.44654992093830104,0,,,NO
3201812,COMBINED,SKIP,0.5044608828480406,0,,,NO
3201815,COMBINED,SKIP,0.515009129178673,0,,,NO
3201817,COMBINED,SKIP,0.44990924594804166,0,,,NO
3201821,COMBINED,SKIP,0.288337458333093,0,,,NO
3201812,COMBINED,SKIP,0.49422080994484374,0,,,NO
3201815,COMBINED,SKIP,0.5020503729089248,0,,,NO
3201812,COMBINED,SKIP,0.4801081724977999,0,,,NO
3201815,COMBINED,SKIP,0.5011569775947677,0,,,NO
3201812,COMBINED,SKIP,0.4789275638639317,0,,,NO
3201815,COMBINED,SKIP,0.5028157153556102,0,,,NO
3201812,COMBINED,SKIP,0.486112880145644,0,,,NO
3201815,COMBINED,SKIP,0.5044720727261252,0,,,NO
3201821,COMBINED,SKIP,0.31527491668526025,0,,,NO
