opportunity_id,market_id,asset,calendar_date,decision_at,time_left_min,executable_ask,diagnostic_mid,diagnostic_half_spread,diagnostic_spread_cost,shares,target,gross_pnl,net_pnl,reproduced_net_pnl,historical_fee,historical_net_pnl,scenario_id,scenario_fee,scenario_net_pnl,sign_changed
2738157_2026-07-01T03:10:36.526383+00:00,2738157,BTC,2026-07-01,2026-07-01T03:10:36.526383+00:00,4.39,0.15,0.14500000000000002,0.004999999999999977,0.03333349999999984,6.6667,0,-1.0,-1.002,-1.0020050099999998,,,0.1% Demonstration Scenario,0.001,-1.0010049999999997,False
2738193_2026-07-01T03:25:36.405309+00:00,2738193,BTC,2026-07-01,2026-07-01T03:25:36.405309+00:00,4.39,0.03,0.025,0.0049999999999999975,0.1666664999999999,33.3333,0,-1.0,-1.002,-1.001998998,,,0.1% Demonstration Scenario,0.001,-1.000999,False
2738782_2026-07-01T04:10:34.377049+00:00,2738782,BTC,2026-07-01,2026-07-01T04:10:34.377049+00:00,4.43,0.2,0.195,0.0050000000000000044,0.025000000000000022,5.0,0,-1.0,-1.002,-1.002,,,0.1% Demonstration Scenario,0.001,-1.001,False
2739066_2026-07-01T04:55:34.598761+00:00,2739066,BTC,2026-07-01,2026-07-01T04:55:34.598761+00:00,4.42,0.32,0.315,0.0050000000000000044,0.015625000000000014,3.125,0,-1.0,-1.002,-1.002,,,0.1% Demonstration Scenario,0.001,-1.001,False
2739503_2026-07-01T05:10:36.602104+00:00,2739503,BTC,2026-07-01,2026-07-01T05:10:36.602104+00:00,4.39,0.14,0.135,0.0050000000000000044,0.03571450000000003,7.1429,0,-1.0,-1.002,-1.0020060120000003,,,0.1% Demonstration Scenario,0.001,-1.001006,False
2739537_2026-07-01T05:25:36.592889+00:00,2739537,BTC,2026-07-01,2026-07-01T05:25:36.592889+00:00,4.39,0.25,0.245,0.0050000000000000044,0.020000000000000018,4.0,0,-1.0,-1.002,-1.002,,,0.1% Demonstration Scenario,0.001,-1.001,False
2739692_2026-07-01T05:55:35.887852+00:00,2739692,BTC,2026-07-01,2026-07-01T05:55:35.887852+00:00,4.4,0.1,0.095,0.0050000000000000044,0.050000000000000044,10.0,0,-1.0,-1.002,-1.002,,,0.1% Demonstration Scenario,0.001,-1.001,False
2739722_2026-07-01T06:10:34.415182+00:00,2739722,BTC,2026-07-01,2026-07-01T06:10:34.415182+00:00,4.43,0.01,0.006,0.004,0.4,100.0,0,-1.0,-1.002,-1.002,,,0.1% Demonstration Scenario,0.001,-1.001,False
2739755_2026-07-01T06:25:35.872041+00:00,2739755,BTC,2026-07-01,2026-07-01T06:25:35.872041+00:00,4.4,0.019,0.0155,0.0034999999999999996,0.18421059999999997,52.6316,0,-1.0,-1.002,-1.0020004008,,,0.1% Demonstration Scenario,0.001,-1.0010004,False
2739782_2026-07-01T06:40:36.598732+00:00,2739782,BTC,2026-07-01,2026-07-01T06:40:36.598732+00:00,4.39,0.048,0.0475,0.0005000000000000004,0.01041665000000001,20.8333,0,-1.0,-1.002,-1.0019983968000001,,,0.1% Demonstration Scenario,0.001,-1.0009984,False
2740295_2026-07-01T07:10:36.348803+00:00,2740295,BTC,2026-07-01,2026-07-01T07:10:36.348803+00:00,4.39,0.02,0.015,0.005000000000000001,0.25000000000000006,50.0,0,-1.0,-1.002,-1.002,,,0.1% Demonstration Scenario,0.001,-1.001,False
2740364_2026-07-01T07:40:34.861360+00:00,2740364,BTC,2026-07-01,2026-07-01T07:40:34.861360+00:00,4.42,0.23,0.225,0.0050000000000000044,0.021739000000000022,4.3478,0,-1.0,-1.002,-1.0019939880000002,,,0.1% Demonstration Scenario,0.001,-1.0009940000000002,False
2740508_2026-07-01T08:10:34.858134+00:00,2740508,BTC,2026-07-01,2026-07-01T08:10:34.858134+00:00,4.42,0.29,0.28,0.009999999999999953,0.03448299999999984,3.4483,0,-1.0,-1.002,-1.002007014,,,0.1% Demonstration Scenario,0.001,-1.0010069999999998,False
2740558_2026-07-01T08:25:34.892044+00:00,2740558,BTC,2026-07-01,2026-07-01T08:25:34.892044+00:00,4.42,0.12,0.11499999999999999,0.0050000000000000044,0.04166650000000004,8.3333,0,-1.0,-1.002,-1.001995992,,,0.1% Demonstration Scenario,0.001,-1.0009959999999998,False
2740748_2026-07-01T09:25:35.429858+00:00,2740748,BTC,2026-07-01,2026-07-01T09:25:35.429858+00:00,4.41,0.13,0.125,0.0050000000000000044,0.03846150000000004,7.6923,0,-1.0,-1.002,-1.0019989980000001,,,0.1% Demonstration Scenario,0.001,-1.000999,False
2740774_2026-07-01T09:40:34.932676+00:00,2740774,BTC,2026-07-01,2026-07-01T09:40:34.932676+00:00,4.42,0.38,0.375,0.0050000000000000044,0.013158000000000012,2.6316,0,-1.0,-1.002,-1.002008016,,,0.1% Demonstration Scenario,0.001,-1.001008,False
2741267_2026-07-01T10:25:36.458018+00:00,2741267,BTC,2026-07-01,2026-07-01T10:25:36.458018+00:00,4.39,0.32,0.315,0.0050000000000000044,0.015625000000000014,3.125,0,-1.0,-1.002,-1.002,,,0.1% Demonstration Scenario,0.001,-1.001,False
2741338_2026-07-01T10:40:34.357132+00:00,2741338,BTC,2026-07-01,2026-07-01T10:40:34.357132+00:00,4.43,0.24,0.235,0.0050000000000000044,0.020833500000000015,4.1667,0,-1.0,-1.002,-1.0020080159999998,,,0.1% Demonstration Scenario,0.001,-1.0010079999999997,False
